"dataset","taxon","method","family","component","reference_group","comparison_group","model_formula","available","reason","p_value","p_value_unfiltered","p_for_bh","q_value","native_q_value","significant","estimate","statistic","effect_definition","components_used","sensitivity_passed"
"korean_hypertension","Eggerthella","DASRA structural absence","DASRA","structural absence","Normotension","Hypertension","age_z + sex + bmi_z + group",TRUE,"Available",0.772551085594731,0.772551085594731,0.772551085594731,0.959094613007167,0.959094613007167,FALSE,,-0.289039584591743,"score z; positive values indicate greater structural absence in the comparison group",,
"korean_hypertension","Enterococcus","DASRA structural absence","DASRA","structural absence","Normotension","Hypertension","age_z + sex + bmi_z + group",TRUE,"Available",0.776283126801966,0.776283126801966,0.776283126801966,0.959094613007167,0.959094613007167,FALSE,,0.284166056281222,"score z; positive values indicate greater structural absence in the comparison group",,
"korean_hypertension","Erysipelotrichaceae incertae sedis","DASRA structural absence","DASRA","structural absence","Normotension","Hypertension","age_z + sex + bmi_z + group",TRUE,"Available",0.215391632363589,0.215391632363589,0.215391632363589,0.876232813585849,0.876232813585849,FALSE,,-1.23887543454358,"score z; positive values indicate greater structural absence in the comparison group",,
"korean_hypertension","Ethanoligenens","DASRA structural absence","DASRA","structural absence","Normotension","Hypertension","age_z + sex + bmi_z + group",TRUE,"Available",0.144455847373555,0.144455847373555,0.144455847373555,0.850080151243901,0.850080151243901,FALSE,,1.45939708676238,"score z; positive values indicate greater structural absence in the comparison group",,
"korean_hypertension","Eubacterium","DASRA structural absence","DASRA","structural absence","Normotension","Hypertension","age_z + sex + bmi_z + group",TRUE,"Available",0.288402156069012,0.288402156069012,0.288402156069012,0.959094613007167,0.959094613007167,FALSE,,1.06163337517048,"score z; positive values indicate greater structural absence in the comparison group",,
"korean_hypertension","Faecalibacterium","DASRA structural absence","DASRA","structural absence","Normotension","Hypertension","age_z + sex + bmi_z + group",TRUE,"Available",0.0701631308584763,0.0701631308584763,0.0701631308584763,0.717839422651631,0.717839422651631,FALSE,,1.81085609194534,"score z; positive values indicate greater structural absence in the comparison group",,
"korean_hypertension","Flavonifractor","DASRA structural absence","DASRA","structural absence","Normotension","Hypertension","age_z + sex + bmi_z + group",TRUE,"Available",0.637493034174625,0.637493034174625,0.637493034174625,0.959094613007167,0.959094613007167,FALSE,,0.471206840650678,"score z; positive values indicate greater structural absence in the comparison group",,
"korean_hypertension","Fusicatenibacter","DASRA structural absence","DASRA","structural absence","Normotension","Hypertension","age_z + sex + bmi_z + group",TRUE,"Available",0.772806513047193,0.772806513047193,0.772806513047193,0.959094613007167,0.959094613007167,FALSE,,-0.288705814135135,"score z; positive values indicate greater structural absence in the comparison group",,
"korean_hypertension","Fusobacterium","DASRA structural absence","DASRA","structural absence","Normotension","Hypertension","age_z + sex + bmi_z + group",TRUE,"Available",0.407555766685137,0.407555766685137,0.407555766685137,0.959094613007167,0.959094613007167,FALSE,,-0.828202608745142,"score z; positive values indicate greater structural absence in the comparison group",,
"korean_hypertension","Gemmiger","DASRA structural absence","DASRA","structural absence","Normotension","Hypertension","age_z + sex + bmi_z + group",TRUE,"Available",0.257182951201617,0.257182951201617,0.257182951201617,0.959094613007167,0.959094613007167,FALSE,,1.13307454206975,"score z; positive values indicate greater structural absence in the comparison group",,
"korean_hypertension","Haemophilus","DASRA structural absence","DASRA","structural absence","Normotension","Hypertension","age_z + sex + bmi_z + group",TRUE,"Available",0.852041551284853,0.852041551284853,0.852041551284853,0.978385974394477,0.978385974394477,FALSE,,0.186514191026086,"score z; positive values indicate greater structural absence in the comparison group",,
"korean_hypertension","Holdemanella","DASRA structural absence","DASRA","structural absence","Normotension","Hypertension","age_z + sex + bmi_z + group",TRUE,"Available",0.305757714301876,0.305757714301876,0.305757714301876,0.959094613007167,0.959094613007167,FALSE,,1.02416422264309,"score z; positive values indicate greater structural absence in the comparison group",,
"korean_hypertension","Intestinibacter","DASRA structural absence","DASRA","structural absence","Normotension","Hypertension","age_z + sex + bmi_z + group",TRUE,"Available",0.608569161241087,0.608569161241087,0.608569161241087,0.959094613007167,0.959094613007167,FALSE,,-0.51211695171299,"score z; positive values indicate greater structural absence in the comparison group",,
"korean_hypertension","Intestinimonas","DASRA structural absence","DASRA","structural absence","Normotension","Hypertension","age_z + sex + bmi_z + group",TRUE,"Available",0.781343110095071,0.781343110095071,0.781343110095071,0.959094613007167,0.959094613007167,FALSE,,0.277569158463845,"score z; positive values indicate greater structural absence in the comparison group",,
"korean_hypertension","Lachnospiracea incertae sedis","DASRA structural absence","DASRA","structural absence","Normotension","Hypertension","age_z + sex + bmi_z + group",TRUE,"No zero counts were observed for this taxon",1,1,1,1,1,FALSE,,,"score z; positive values indicate greater structural absence in the comparison group",,
"korean_hypertension","Lactobacillus","DASRA structural absence","DASRA","structural absence","Normotension","Hypertension","age_z + sex + bmi_z + group",TRUE,"Available",0.216057406089661,0.216057406089661,0.216057406089661,0.876232813585849,0.876232813585849,FALSE,,1.23707994045618,"score z; positive values indicate greater structural absence in the comparison group",,
"korean_hypertension","Megamonas","DASRA structural absence","DASRA","structural absence","Normotension","Hypertension","age_z + sex + bmi_z + group",TRUE,"Available",0.196397226551065,0.196397226551065,0.196397226551065,0.876232813585849,0.876232813585849,FALSE,,-1.29188426825779,"score z; positive values indicate greater structural absence in the comparison group",,
"korean_hypertension","Megasphaera","DASRA structural absence","DASRA","structural absence","Normotension","Hypertension","age_z + sex + bmi_z + group",TRUE,"Available",0.520349664710706,0.520349664710706,0.520349664710706,0.959094613007167,0.959094613007167,FALSE,,0.642806500326532,"score z; positive values indicate greater structural absence in the comparison group",,
"korean_hypertension","Mitsuokella","DASRA structural absence","DASRA","structural absence","Normotension","Hypertension","age_z + sex + bmi_z + group",TRUE,"Available",0.854018118616168,0.854018118616168,0.854018118616168,0.978385974394477,0.978385974394477,FALSE,,0.183994055141919,"score z; positive values indicate greater structural absence in the comparison group",,
"korean_hypertension","Odoribacter","DASRA structural absence","DASRA","structural absence","Normotension","Hypertension","age_z + sex + bmi_z + group",TRUE,"Available",0.344666201455755,0.344666201455755,0.344666201455755,0.959094613007167,0.959094613007167,FALSE,,0.94498565144944,"score z; positive values indicate greater structural absence in the comparison group",,
"korean_hypertension","Oscillibacter","DASRA structural absence","DASRA","structural absence","Normotension","Hypertension","age_z + sex + bmi_z + group",TRUE,"Available",0.676859389385857,0.676859389385857,0.676859389385857,0.959094613007167,0.959094613007167,FALSE,,0.416752581796296,"score z; positive values indicate greater structural absence in the comparison group",,
"korean_hypertension","Parabacteroides","DASRA structural absence","DASRA","structural absence","Normotension","Hypertension","age_z + sex + bmi_z + group",TRUE,"Available",0.924769698279487,0.924769698279487,0.924769698279487,1,1,FALSE,,0.0944273404682094,"score z; positive values indicate greater structural absence in the comparison group",,
"korean_hypertension","Paraprevotella","DASRA structural absence","DASRA","structural absence","Normotension","Hypertension","age_z + sex + bmi_z + group",TRUE,"Available",0.409935177713251,0.409935177713251,0.409935177713251,0.959094613007167,0.959094613007167,FALSE,,0.824007708995241,"score z; positive values indicate greater structural absence in the comparison group",,
"korean_hypertension","Parasutterella","DASRA structural absence","DASRA","structural absence","Normotension","Hypertension","age_z + sex + bmi_z + group",TRUE,"Available",0.370390321672041,0.370390321672041,0.370390321672041,0.959094613007167,0.959094613007167,FALSE,,0.89574247086894,"score z; positive values indicate greater structural absence in the comparison group",,
"korean_hypertension","Phascolarctobacterium","DASRA structural absence","DASRA","structural absence","Normotension","Hypertension","age_z + sex + bmi_z + group",TRUE,"Available",0.393637978703616,0.393637978703616,0.393637978703616,0.959094613007167,0.959094613007167,FALSE,,0.853038456040894,"score z; positive values indicate greater structural absence in the comparison group",,
"korean_hypertension","Prevotella","DASRA structural absence","DASRA","structural absence","Normotension","Hypertension","age_z + sex + bmi_z + group",TRUE,"Available",0.353335331462331,0.353335331462331,0.353335331462331,0.959094613007167,0.959094613007167,FALSE,,0.928139270261164,"score z; positive values indicate greater structural absence in the comparison group",,
"korean_hypertension","Romboutsia","DASRA structural absence","DASRA","structural absence","Normotension","Hypertension","age_z + sex + bmi_z + group",TRUE,"Available",0.535321610823839,0.535321610823839,0.535321610823839,0.959094613007167,0.959094613007167,FALSE,,0.619903060331597,"score z; positive values indicate greater structural absence in the comparison group",,
"korean_hypertension","Roseburia","DASRA structural absence","DASRA","structural absence","Normotension","Hypertension","age_z + sex + bmi_z + group",TRUE,"Available",0.857763046044473,0.857763046044473,0.857763046044473,0.978385974394477,0.978385974394477,FALSE,,0.179222437927355,"score z; positive values indicate greater structural absence in the comparison group",,
"korean_hypertension","Ruminococcus","DASRA structural absence","DASRA","structural absence","Normotension","Hypertension","age_z + sex + bmi_z + group",TRUE,"Available",0.460491602125947,0.460491602125947,0.460491602125947,0.959094613007167,0.959094613007167,FALSE,,0.738037597863532,"score z; positive values indicate greater structural absence in the comparison group",,
"korean_hypertension","Ruminococcus2","DASRA structural absence","DASRA","structural absence","Normotension","Hypertension","age_z + sex + bmi_z + group",TRUE,"Available",0.038869017101179,0.038869017101179,0.038869017101179,0.717839422651631,0.717839422651631,FALSE,,2.06557087258143,"score z; positive values indicate greater structural absence in the comparison group",,
"korean_hypertension","Senegalimassilia","DASRA structural absence","DASRA","structural absence","Normotension","Hypertension","age_z + sex + bmi_z + group",TRUE,"Available",0.499921033991739,0.499921033991739,0.499921033991739,0.959094613007167,0.959094613007167,FALSE,,-0.67461400308988,"score z; positive values indicate greater structural absence in the comparison group",,
"korean_hypertension","Sporobacter","DASRA structural absence","DASRA","structural absence","Normotension","Hypertension","age_z + sex + bmi_z + group",TRUE,"Available",0.69226941189054,0.69226941189054,0.69226941189054,0.959094613007167,0.959094613007167,FALSE,,0.39577718131295,"score z; positive values indicate greater structural absence in the comparison group",,
"korean_hypertension","Streptococcus","DASRA structural absence","DASRA","structural absence","Normotension","Hypertension","age_z + sex + bmi_z + group",TRUE,"Available",0.489410282415334,0.489410282415334,0.489410282415334,0.959094613007167,0.959094613007167,FALSE,,0.691247079351714,"score z; positive values indicate greater structural absence in the comparison group",,
"korean_hypertension","Subdoligranulum","DASRA structural absence","DASRA","structural absence","Normotension","Hypertension","age_z + sex + bmi_z + group",TRUE,"Available",0.00873183319924051,0.00873183319924051,0.00873183319924051,0.562782987254455,0.562782987254455,FALSE,,2.6223787498358,"score z; positive values indicate greater structural absence in the comparison group",,
"korean_hypertension","Sutterella","DASRA structural absence","DASRA","structural absence","Normotension","Hypertension","age_z + sex + bmi_z + group",TRUE,"Available",0.341459897971564,0.341459897971564,0.341459897971564,0.959094613007167,0.959094613007167,FALSE,,0.951284648118546,"score z; positive values indicate greater structural absence in the comparison group",,
"korean_hypertension","Turicibacter","DASRA structural absence","DASRA","structural absence","Normotension","Hypertension","age_z + sex + bmi_z + group",TRUE,"Available",0.755699027761348,0.755699027761348,0.755699027761348,0.959094613007167,0.959094613007167,FALSE,,0.311133640830717,"score z; positive values indicate greater structural absence in the comparison group",,
"korean_hypertension","Unclassified_Clostridiales","DASRA structural absence","DASRA","structural absence","Normotension","Hypertension","age_z + sex + bmi_z + group",TRUE,"Available",0.788296942197671,0.788296942197671,0.788296942197671,0.959094613007167,0.959094613007167,FALSE,,-0.268522780538861,"score z; positive values indicate greater structural absence in the comparison group",,
"korean_hypertension","Unclassified_Comamonadaceae","DASRA structural absence","DASRA","structural absence","Normotension","Hypertension","age_z + sex + bmi_z + group",TRUE,"Available",0.7029865212122,0.7029865212122,0.7029865212122,0.959094613007167,0.959094613007167,FALSE,,-0.381292091616036,"score z; positive values indicate greater structural absence in the comparison group",,
