"replication","setting_id","max_probability_sum_error_before_adjustment","max_inactive_tested_probability_error","minimum_other_probability","reservoir_fraction_min","reservoir_fraction_max","minimum_positive_control","minimum_positive_case"
45,"NULL_BALANCED",1.4432899320127e-15,0,0.0022877349298145,0.0022877349298145,0.995632682716019,14,9
45,"NULL_BALANCED_LOW",1.4432899320127e-15,0,0.0022877349298145,0.0022877349298145,0.995632682716019,11,8
45,"NULL_FOURFOLD",1.4432899320127e-15,0,0.0022877349298145,0.0022877349298145,0.995632682716019,11,9
46,"NULL_BALANCED",6.66133814775094e-16,0,0.000106407504259875,0.000106407504259875,0.986742900370537,8,9
46,"NULL_BALANCED_LOW",6.66133814775094e-16,0,0.000106407504259875,0.000106407504259875,0.986742900370537,6,8
46,"NULL_FOURFOLD",6.66133814775094e-16,0,0.000106407504259875,0.000106407504259875,0.986742900370537,6,9
47,"NULL_BALANCED",9.99200722162641e-16,0,0.00179886162291074,0.00179886162291074,0.870325396876123,11,10
47,"NULL_BALANCED_LOW",9.99200722162641e-16,0,0.00179886162291074,0.00179886162291074,0.870325396876123,10,8
47,"NULL_FOURFOLD",9.99200722162641e-16,0,0.00179886162291074,0.00179886162291074,0.870325396876123,7,10
48,"NULL_BALANCED",1.33226762955019e-15,0,0.00109744985964797,0.00109744985964797,0.981541665523183,4,13
48,"NULL_BALANCED_LOW",1.33226762955019e-15,0,0.00109744985964797,0.00109744985964797,0.981541665523183,5,6
48,"NULL_FOURFOLD",1.33226762955019e-15,0,0.00109744985964797,0.00109744985964797,0.981541665523183,5,13
49,"NULL_BALANCED",9.99200722162641e-16,0,0.000245019410573606,0.000245019410573606,0.99518149419539,11,9
49,"NULL_BALANCED_LOW",9.99200722162641e-16,0,0.000245019410573606,0.000245019410573606,0.99518149419539,11,8
49,"NULL_FOURFOLD",9.99200722162641e-16,0,0.000245019410573606,0.000245019410573606,0.99518149419539,8,8
50,"NULL_BALANCED",9.99200722162641e-16,0,0.000679963992701536,0.000679963992701536,0.920367585585632,10,12
50,"NULL_BALANCED_LOW",9.99200722162641e-16,0,0.000679963992701536,0.000679963992701536,0.920367585585632,9,7
50,"NULL_FOURFOLD",9.99200722162641e-16,0,0.000679963992701536,0.000679963992701536,0.920367585585632,9,12
51,"NULL_BALANCED",1.11022302462516e-15,0,0.00113792435947019,0.00113792435947019,0.990294050745638,12,14
51,"NULL_BALANCED_LOW",1.11022302462516e-15,0,0.00113792435947019,0.00113792435947019,0.990294050745638,9,12
51,"NULL_FOURFOLD",1.11022302462516e-15,0,0.00113792435947019,0.00113792435947019,0.990294050745638,8,14
52,"NULL_BALANCED",1.33226762955019e-15,0,0.000120195042573874,0.000120195042573874,0.997463851097252,7,11
52,"NULL_BALANCED_LOW",1.33226762955019e-15,0,0.000120195042573874,0.000120195042573874,0.997463851097252,7,10
52,"NULL_FOURFOLD",1.33226762955019e-15,0,0.000120195042573874,0.000120195042573874,0.997463851097252,6,12
53,"NULL_BALANCED",1.11022302462516e-15,0,0.00065207447618538,0.00065207447618538,0.950783210781316,9,14
53,"NULL_BALANCED_LOW",1.11022302462516e-15,0,0.00065207447618538,0.00065207447618538,0.950783210781316,6,6
53,"NULL_FOURFOLD",1.11022302462516e-15,0,0.00065207447618538,0.00065207447618538,0.950783210781316,7,13
54,"NULL_BALANCED",8.88178419700125e-16,0,0.00311884394738722,0.00311884394738722,0.982678091872154,11,9
54,"NULL_BALANCED_LOW",8.88178419700125e-16,0,0.00311884394738722,0.00311884394738722,0.982678091872154,7,8
54,"NULL_FOURFOLD",8.88178419700125e-16,0,0.00311884394738722,0.00311884394738722,0.982678091872154,8,9
55,"NULL_BALANCED",7.7715611723761e-16,0,0.00137267587136218,0.00137267587136218,0.8198385984794,13,10
55,"NULL_BALANCED_LOW",7.7715611723761e-16,0,0.00137267587136218,0.00137267587136218,0.8198385984794,10,9
55,"NULL_FOURFOLD",7.7715611723761e-16,0,0.00137267587136218,0.00137267587136218,0.8198385984794,8,11
56,"NULL_BALANCED",8.88178419700125e-16,0,0.000307669585528649,0.000307669585528649,0.91994026121934,9,12
56,"NULL_BALANCED_LOW",8.88178419700125e-16,0,0.000307669585528649,0.000307669585528649,0.91994026121934,8,10
56,"NULL_FOURFOLD",8.88178419700125e-16,0,0.000307669585528649,0.000307669585528649,0.91994026121934,8,12
57,"NULL_BALANCED",1.11022302462516e-15,0,0.00040903528422282,0.00040903528422282,0.902721875204145,12,11
57,"NULL_BALANCED_LOW",1.11022302462516e-15,0,0.00040903528422282,0.00040903528422282,0.902721875204145,7,11
57,"NULL_FOURFOLD",1.11022302462516e-15,0,0.00040903528422282,0.00040903528422282,0.902721875204145,8,11
58,"NULL_BALANCED",8.88178419700125e-16,0,0.000934870858276224,0.000934870858276224,0.998811649625023,8,11
58,"NULL_BALANCED_LOW",8.88178419700125e-16,0,0.000934870858276224,0.000934870858276224,0.998811649625023,6,8
58,"NULL_FOURFOLD",8.88178419700125e-16,0,0.000934870858276224,0.000934870858276224,0.998811649625023,6,10
59,"NULL_BALANCED",8.88178419700125e-16,0,0.00199715653964764,0.00199715653964764,0.99525319287517,12,7
59,"NULL_BALANCED_LOW",8.88178419700125e-16,0,0.00199715653964764,0.00199715653964764,0.99525319287517,8,5
59,"NULL_FOURFOLD",8.88178419700125e-16,0,0.00199715653964764,0.00199715653964764,0.99525319287517,6,8
60,"NULL_BALANCED",8.88178419700125e-16,0,0.000511909991841467,0.000511909991841467,0.994292233480121,11,6
60,"NULL_BALANCED_LOW",8.88178419700125e-16,0,0.000511909991841467,0.000511909991841467,0.994292233480121,9,6
60,"NULL_FOURFOLD",8.88178419700125e-16,0,0.000511909991841467,0.000511909991841467,0.994292233480121,7,6
61,"NULL_BALANCED",9.99200722162641e-16,0,0.00337805165341481,0.00337805165341481,0.977816665779075,10,12
61,"NULL_BALANCED_LOW",9.99200722162641e-16,0,0.00337805165341481,0.00337805165341481,0.977816665779075,9,8
61,"NULL_FOURFOLD",9.99200722162641e-16,0,0.00337805165341481,0.00337805165341481,0.977816665779075,9,12
62,"NULL_BALANCED",1.11022302462516e-15,0,0.00354809481895255,0.00354809481895255,0.920744676805091,9,10
62,"NULL_BALANCED_LOW",1.11022302462516e-15,0,0.00354809481895255,0.00354809481895255,0.920744676805091,9,8
62,"NULL_FOURFOLD",1.11022302462516e-15,0,0.00354809481895255,0.00354809481895255,0.920744676805091,9,10
63,"NULL_BALANCED",9.99200722162641e-16,0,0.000871805641188279,0.000871805641188279,0.839841218884179,12,12
63,"NULL_BALANCED_LOW",9.99200722162641e-16,0,0.000871805641188279,0.000871805641188279,0.839841218884179,9,9
63,"NULL_FOURFOLD",9.99200722162641e-16,0,0.000871805641188279,0.000871805641188279,0.839841218884179,8,11
64,"NULL_BALANCED",8.88178419700125e-16,0,0.00259936348040173,0.00259936348040173,0.911400219320472,13,7
64,"NULL_BALANCED_LOW",8.88178419700125e-16,0,0.00259936348040173,0.00259936348040173,0.911400219320472,10,6
64,"NULL_FOURFOLD",8.88178419700125e-16,0,0.00259936348040173,0.00259936348040173,0.911400219320472,11,7
65,"NULL_BALANCED",8.88178419700125e-16,0,0.00548360155385462,0.00548360155385462,0.997426948602049,9,11
65,"NULL_BALANCED_LOW",8.88178419700125e-16,0,0.00548360155385462,0.00548360155385462,0.997426948602049,9,9
65,"NULL_FOURFOLD",8.88178419700125e-16,0,0.00548360155385462,0.00548360155385462,0.997426948602049,8,13
66,"NULL_BALANCED",1.11022302462516e-15,0,0.00804311838148303,0.00804311838148303,0.999928105964383,9,10
66,"NULL_BALANCED_LOW",1.11022302462516e-15,0,0.00804311838148303,0.00804311838148303,0.999928105964383,8,8
66,"NULL_FOURFOLD",1.11022302462516e-15,0,0.00804311838148303,0.00804311838148303,0.999928105964383,9,12
67,"NULL_BALANCED",1.11022302462516e-15,0,0.00478407548100829,0.00478407548100829,0.890885626235898,10,11
67,"NULL_BALANCED_LOW",1.11022302462516e-15,0,0.00478407548100829,0.00478407548100829,0.890885626235898,7,9
67,"NULL_FOURFOLD",1.11022302462516e-15,0,0.00478407548100829,0.00478407548100829,0.890885626235898,8,12
68,"NULL_BALANCED",9.99200722162641e-16,0,0.00106420609222336,0.00106420609222336,0.964542506758943,9,11
68,"NULL_BALANCED_LOW",9.99200722162641e-16,0,0.00106420609222336,0.00106420609222336,0.964542506758943,6,10
68,"NULL_FOURFOLD",9.99200722162641e-16,0,0.00106420609222336,0.00106420609222336,0.964542506758943,8,12
69,"NULL_BALANCED",8.88178419700125e-16,0,0.000822654955513185,0.000822654955513185,0.993420518711097,12,12
69,"NULL_BALANCED_LOW",8.88178419700125e-16,0,0.000822654955513185,0.000822654955513185,0.993420518711097,8,10
69,"NULL_FOURFOLD",8.88178419700125e-16,0,0.000822654955513185,0.000822654955513185,0.993420518711097,7,13
70,"NULL_BALANCED",1.11022302462516e-15,0,0.00210321227898456,0.00210321227898456,0.895604627394981,12,10
70,"NULL_BALANCED_LOW",1.11022302462516e-15,0,0.00210321227898456,0.00210321227898456,0.895604627394981,10,7
70,"NULL_FOURFOLD",1.11022302462516e-15,0,0.00210321227898456,0.00210321227898456,0.895604627394981,9,11
71,"NULL_BALANCED",8.88178419700125e-16,0,0.000524842409832382,0.000524842409832382,0.985896809615429,11,12
71,"NULL_BALANCED_LOW",8.88178419700125e-16,0,0.000524842409832382,0.000524842409832382,0.985896809615429,10,8
71,"NULL_FOURFOLD",8.88178419700125e-16,0,0.000524842409832382,0.000524842409832382,0.985896809615429,10,11
72,"NULL_BALANCED",8.88178419700125e-16,0,0.0037307619185197,0.0037307619185197,0.998320784758504,11,12
72,"NULL_BALANCED_LOW",8.88178419700125e-16,0,0.0037307619185197,0.0037307619185197,0.998320784758504,9,7
72,"NULL_FOURFOLD",8.88178419700125e-16,0,0.0037307619185197,0.0037307619185197,0.998320784758504,7,12
73,"NULL_BALANCED",1.22124532708767e-15,0,0.00338324338096515,0.00338324338096515,0.995497139635006,9,13
73,"NULL_BALANCED_LOW",1.22124532708767e-15,0,0.00338324338096515,0.00338324338096515,0.995497139635006,8,10
73,"NULL_FOURFOLD",1.22124532708767e-15,0,0.00338324338096515,0.00338324338096515,0.995497139635006,7,11
74,"NULL_BALANCED",1.11022302462516e-15,0,0.000276941855152958,0.000276941855152958,0.98681132259127,12,10
74,"NULL_BALANCED_LOW",1.11022302462516e-15,0,0.000276941855152958,0.000276941855152958,0.98681132259127,10,8
74,"NULL_FOURFOLD",1.11022302462516e-15,0,0.000276941855152958,0.000276941855152958,0.98681132259127,8,10
75,"NULL_BALANCED",1.11022302462516e-15,0,0.000312884368628841,0.000312884368628841,0.994440580274871,9,12
75,"NULL_BALANCED_LOW",1.11022302462516e-15,0,0.000312884368628841,0.000312884368628841,0.994440580274871,9,8
75,"NULL_FOURFOLD",1.11022302462516e-15,0,0.000312884368628841,0.000312884368628841,0.994440580274871,8,12
76,"NULL_BALANCED",8.88178419700125e-16,0,0.00304780073532378,0.00304780073532378,0.994070471158509,11,13
76,"NULL_BALANCED_LOW",8.88178419700125e-16,0,0.00304780073532378,0.00304780073532378,0.994070471158509,10,10
76,"NULL_FOURFOLD",8.88178419700125e-16,0,0.00304780073532378,0.00304780073532378,0.994070471158509,7,13
77,"NULL_BALANCED",8.88178419700125e-16,0,0.000396759697560154,0.000396759697560154,0.973490980230315,8,8
77,"NULL_BALANCED_LOW",8.88178419700125e-16,0,0.000396759697560154,0.000396759697560154,0.973490980230315,7,7
77,"NULL_FOURFOLD",8.88178419700125e-16,0,0.000396759697560154,0.000396759697560154,0.973490980230315,7,8
78,"NULL_BALANCED",8.88178419700125e-16,0,0.00073421147406536,0.00073421147406536,0.892702339645215,7,10
78,"NULL_BALANCED_LOW",8.88178419700125e-16,0,0.00073421147406536,0.00073421147406536,0.892702339645215,6,9
78,"NULL_FOURFOLD",8.88178419700125e-16,0,0.00073421147406536,0.00073421147406536,0.892702339645215,6,12
