"setting_id","scenario","depth_design","method","component","multiplicity","metric","n_replications","estimate","mcse","ci95_lower","ci95_upper"
"NULL_BALANCED_LOW","global_null","BALANCED_LOW","MaAsLin 3","observed_prevalence","raw","rejection_rate",100,0.0412,0.00316317191528639,0.0350002969691301,0.0473997030308699
"NULL_BALANCED_LOW","global_null","BALANCED_LOW","DASRA","present_conditional_abundance","raw","rejection_rate",100,0.0438,0.00343122912865541,0.0370749144851307,0.0505250855148693
"NULL_BALANCED_LOW","global_null","BALANCED_LOW","ZINQ","observed_prevalence","raw","rejection_rate",100,0.0436,0.00314472461899177,0.0374364530054797,0.0497635469945203
"NULL_BALANCED_LOW","global_null","BALANCED_LOW","ZINQ","detected_quantile_abundance","raw","rejection_rate",100,0.0604,0.00361791278630275,0.0533090212396397,0.0674909787603603
"NULL_BALANCED_LOW","global_null","BALANCED_LOW","MaAsLin 3","detected_log_abundance","raw","rejection_rate",100,0.0442,0.00313075328980362,0.0380638363075046,0.0503361636924954
"NULL_FOURFOLD","global_null","FOURFOLD","DASRA","structural_absence","raw","rejection_rate",100,0.0462,0.00282406684328709,0.0406649306972236,0.0517350693027764
"NULL_FOURFOLD","global_null","FOURFOLD","MaAsLin 3","observed_prevalence","raw","rejection_rate",100,0.0444,0.00267544011294961,0.039156233735825,0.049643766264175
"NULL_FOURFOLD","global_null","FOURFOLD","DASRA","present_conditional_abundance","raw","rejection_rate",100,0.0454,0.00316361894805377,0.0391994208010061,0.0516005791989939
"NULL_FOURFOLD","global_null","FOURFOLD","ZINQ","observed_prevalence","raw","rejection_rate",100,0.0504,0.00298792181418403,0.0445437808555777,0.0562562191444223
"NULL_FOURFOLD","global_null","FOURFOLD","ZINQ","detected_quantile_abundance","raw","rejection_rate",100,0.0646,0.00370481532139681,0.0573386954006901,0.0718613045993099
"NULL_FOURFOLD","global_null","FOURFOLD","MaAsLin 3","detected_log_abundance","raw","rejection_rate",100,0.0402,0.00250244325054979,0.0352953013555671,0.0451046986444329
"NULL_BALANCED","global_null","BALANCED","DASRA","structural_absence","BH","rejection_rate",100,0.001,0.00043808582711518,0.000141367556716806,0.00185863244328319
"NULL_BALANCED","global_null","BALANCED","MaAsLin 3","observed_prevalence","BH","rejection_rate",100,4e-04,0.00028141058827258,0,0.000951554617882486
"NULL_BALANCED","global_null","BALANCED","DASRA","present_conditional_abundance","BH","rejection_rate",100,0.002,0.000724743075339478,0.000579529674289824,0.00342047032571017
"NULL_BALANCED","global_null","BALANCED","ZINQ","observed_prevalence","BH","rejection_rate",100,4e-04,0.00028141058827258,0,0.000951554617882486
"NULL_BALANCED","global_null","BALANCED","ZINQ","detected_quantile_abundance","BH","rejection_rate",100,8e-04,0.000393892771133865,2.79843548069472e-05,0.00157201564519305
"NULL_BALANCED","global_null","BALANCED","MaAsLin 3","detected_log_abundance","BH","rejection_rate",100,0.000800000000000001,0.000393892771133865,2.79843548069464e-05,0.00157201564519305
"NULL_BALANCED_LOW","global_null","BALANCED_LOW","DASRA","structural_absence","BH","rejection_rate",100,0.0032,0.000789834402794905,0.00165195301677128,0.00474804698322871
"NULL_BALANCED_LOW","global_null","BALANCED_LOW","MaAsLin 3","observed_prevalence","BH","rejection_rate",100,2e-04,2e-04,0,0.00059199279690801
"NULL_BALANCED_LOW","global_null","BALANCED_LOW","DASRA","present_conditional_abundance","BH","rejection_rate",100,0.0042,0.00118219108335994,0.00188294805377012,0.00651705194622988
"NULL_BALANCED_LOW","global_null","BALANCED_LOW","ZINQ","observed_prevalence","BH","rejection_rate",100,8e-04,0.000393892771133866,2.79843548069459e-05,0.00157201564519305
"NULL_BALANCED_LOW","global_null","BALANCED_LOW","ZINQ","detected_quantile_abundance","BH","rejection_rate",100,6e-04,0.00034289321599553,0,0.00127205835389435
"NULL_BALANCED_LOW","global_null","BALANCED_LOW","MaAsLin 3","detected_log_abundance","BH","rejection_rate",100,8e-04,0.000485756725079125,0,0.00175206568640321
"NULL_FOURFOLD","global_null","FOURFOLD","DASRA","structural_absence","BH","rejection_rate",100,0.0036,0.000822904439878482,0.00198713693512007,0.00521286306487993
"NULL_FOURFOLD","global_null","FOURFOLD","MaAsLin 3","observed_prevalence","BH","rejection_rate",100,4e-04,0.00028141058827258,0,0.000951554617882486
"NULL_FOURFOLD","global_null","FOURFOLD","DASRA","present_conditional_abundance","BH","rejection_rate",100,0.0016,0.000787785542267731,5.59687096138922e-05,0.00314403129038611
"NULL_FOURFOLD","global_null","FOURFOLD","ZINQ","observed_prevalence","BH","rejection_rate",100,0.0014,0.000586377339124206,0.000250721533966127,0.00254927846603387
"NULL_FOURFOLD","global_null","FOURFOLD","ZINQ","detected_quantile_abundance","BH","rejection_rate",100,0.0018,0.000808790092756713,0.000214800547144033,0.00338519945285597
"NULL_FOURFOLD","global_null","FOURFOLD","MaAsLin 3","detected_log_abundance","BH","rejection_rate",100,0.000999999999999999,0.00043808582711518,0.000141367556716806,0.00185863244328319
"NULL_BALANCED","global_null","BALANCED","DASRA","structural_absence","BY","rejection_rate",100,6e-04,0.00034289321599553,0,0.00127205835389435
"NULL_BALANCED","global_null","BALANCED","MaAsLin 3","observed_prevalence","BY","rejection_rate",100,0,0,0,0
"NULL_BALANCED","global_null","BALANCED","DASRA","present_conditional_abundance","BY","rejection_rate",100,2e-04,2e-04,0,0.00059199279690801
"NULL_BALANCED","global_null","BALANCED","ZINQ","observed_prevalence","BY","rejection_rate",100,2e-04,2e-04,0,0.00059199279690801
"NULL_BALANCED","global_null","BALANCED","ZINQ","detected_quantile_abundance","BY","rejection_rate",100,2e-04,2e-04,0,0.000591992796908011
"NULL_BALANCED","global_null","BALANCED","MaAsLin 3","detected_log_abundance","BY","rejection_rate",100,4e-04,0.00028141058827258,0,0.000951554617882486
"NULL_BALANCED_LOW","global_null","BALANCED_LOW","DASRA","structural_absence","BY","rejection_rate",100,0.0026,0.000733333333333333,0.00116269307800396,0.00403730692199604
"NULL_BALANCED_LOW","global_null","BALANCED_LOW","MaAsLin 3","observed_prevalence","BY","rejection_rate",100,0,0,0,0
"NULL_BALANCED_LOW","global_null","BALANCED_LOW","DASRA","present_conditional_abundance","BY","rejection_rate",100,0.0018,0.000641651908527646,0.000542385368674424,0.00305761463132557
"NULL_BALANCED_LOW","global_null","BALANCED_LOW","ZINQ","observed_prevalence","BY","rejection_rate",100,2e-04,2e-04,0,0.00059199279690801
"NULL_BALANCED_LOW","global_null","BALANCED_LOW","ZINQ","detected_quantile_abundance","BY","rejection_rate",100,0,0,0,0
"NULL_BALANCED_LOW","global_null","BALANCED_LOW","MaAsLin 3","detected_log_abundance","BY","rejection_rate",100,4e-04,4e-04,0,0.00118398559381602
"NULL_FOURFOLD","global_null","FOURFOLD","DASRA","structural_absence","BY","rejection_rate",100,0.0028,0.000753175097353018,0.00132380393513564,0.00427619606486437
"NULL_FOURFOLD","global_null","FOURFOLD","MaAsLin 3","observed_prevalence","BY","rejection_rate",100,0,0,0,0
"NULL_FOURFOLD","global_null","FOURFOLD","DASRA","present_conditional_abundance","BY","rejection_rate",100,6e-04,0.000445403006707228,0,0.00147297385175202
"NULL_FOURFOLD","global_null","FOURFOLD","ZINQ","observed_prevalence","BY","rejection_rate",100,2e-04,2e-04,0,0.00059199279690801
"NULL_FOURFOLD","global_null","FOURFOLD","ZINQ","detected_quantile_abundance","BY","rejection_rate",100,0,0,0,0
"NULL_FOURFOLD","global_null","FOURFOLD","MaAsLin 3","detected_log_abundance","BY","rejection_rate",100,2e-04,2e-04,0,0.00059199279690801
"NULL_BALANCED","global_null","BALANCED","DASRA","structural_absence","raw","null_rejection_rate",100,0.0364,0.00268749442094793,0.0311326077262897,0.0416673922737103
"NULL_BALANCED","global_null","BALANCED","MaAsLin 3","observed_prevalence","raw","null_rejection_rate",100,0.0436,0.0029457039425529,0.0378265263634787,0.0493734736365213
"NULL_BALANCED","global_null","BALANCED","DASRA","present_conditional_abundance","raw","null_rejection_rate",100,0.0506,0.00294673248246805,0.0448245104622883,0.0563754895377117
"NULL_BALANCED","global_null","BALANCED","ZINQ","observed_prevalence","raw","null_rejection_rate",100,0.0464,0.0029525541074764,0.0406131002869404,0.0521868997130595
"NULL_BALANCED","global_null","BALANCED","ZINQ","detected_quantile_abundance","raw","null_rejection_rate",100,0.0568,0.00327488144592266,0.0503813503123531,0.0632186496876469
"NULL_BALANCED","global_null","BALANCED","MaAsLin 3","detected_log_abundance","raw","null_rejection_rate",100,0.0434,0.00288577143372041,0.0377439919222935,0.0490560080777065
"NULL_BALANCED_LOW","global_null","BALANCED_LOW","DASRA","structural_absence","raw","null_rejection_rate",100,0.0412,0.00291037850292759,0.0354957629528823,0.0469042370471177
"NULL_BALANCED_LOW","global_null","BALANCED_LOW","MaAsLin 3","observed_prevalence","raw","null_rejection_rate",100,0.0412,0.00316317191528639,0.0350002969691301,0.0473997030308699
"NULL_BALANCED_LOW","global_null","BALANCED_LOW","DASRA","present_conditional_abundance","raw","null_rejection_rate",100,0.0438,0.00343122912865541,0.0370749144851307,0.0505250855148693
"NULL_BALANCED_LOW","global_null","BALANCED_LOW","ZINQ","observed_prevalence","raw","null_rejection_rate",100,0.0436,0.00314472461899177,0.0374364530054797,0.0497635469945203
"NULL_BALANCED_LOW","global_null","BALANCED_LOW","ZINQ","detected_quantile_abundance","raw","null_rejection_rate",100,0.0604,0.00361791278630275,0.0533090212396397,0.0674909787603603
"NULL_BALANCED_LOW","global_null","BALANCED_LOW","MaAsLin 3","detected_log_abundance","raw","null_rejection_rate",100,0.0442,0.00313075328980362,0.0380638363075046,0.0503361636924954
"NULL_FOURFOLD","global_null","FOURFOLD","DASRA","structural_absence","raw","null_rejection_rate",100,0.0462,0.00282406684328709,0.0406649306972236,0.0517350693027764
"NULL_FOURFOLD","global_null","FOURFOLD","MaAsLin 3","observed_prevalence","raw","null_rejection_rate",100,0.0444,0.00267544011294961,0.039156233735825,0.049643766264175
"NULL_FOURFOLD","global_null","FOURFOLD","DASRA","present_conditional_abundance","raw","null_rejection_rate",100,0.0454,0.00316361894805377,0.0391994208010061,0.0516005791989939
"NULL_FOURFOLD","global_null","FOURFOLD","ZINQ","observed_prevalence","raw","null_rejection_rate",100,0.0504,0.00298792181418403,0.0445437808555777,0.0562562191444223
"NULL_FOURFOLD","global_null","FOURFOLD","ZINQ","detected_quantile_abundance","raw","null_rejection_rate",100,0.0646,0.00370481532139681,0.0573386954006901,0.0718613045993099
"NULL_FOURFOLD","global_null","FOURFOLD","MaAsLin 3","detected_log_abundance","raw","null_rejection_rate",100,0.0402,0.00250244325054979,0.0352953013555671,0.0451046986444329
"NULL_BALANCED","global_null","BALANCED","DASRA","structural_absence","BH","null_rejection_rate",100,0.001,0.00043808582711518,0.000141367556716806,0.00185863244328319
"NULL_BALANCED","global_null","BALANCED","MaAsLin 3","observed_prevalence","BH","null_rejection_rate",100,4e-04,0.00028141058827258,0,0.000951554617882486
"NULL_BALANCED","global_null","BALANCED","DASRA","present_conditional_abundance","BH","null_rejection_rate",100,0.002,0.000724743075339478,0.000579529674289824,0.00342047032571017
"NULL_BALANCED","global_null","BALANCED","ZINQ","observed_prevalence","BH","null_rejection_rate",100,4e-04,0.00028141058827258,0,0.000951554617882486
"NULL_BALANCED","global_null","BALANCED","ZINQ","detected_quantile_abundance","BH","null_rejection_rate",100,8e-04,0.000393892771133865,2.79843548069472e-05,0.00157201564519305
"NULL_BALANCED","global_null","BALANCED","MaAsLin 3","detected_log_abundance","BH","null_rejection_rate",100,0.000800000000000001,0.000393892771133865,2.79843548069464e-05,0.00157201564519305
