"setting_id","taxon","n_replications","mean_positive_control","mean_positive_case","probability_control_below_20","probability_case_below_20","probability_either_group_below_20"
"NULL_FOURFOLD","Taxon_011",100,17.7,20.68,0.7,0.4,0.8
"NULL_FOURFOLD","Taxon_012",100,23.43,26.84,0.13,0.02,0.14
"NULL_FOURFOLD","Taxon_013",100,20.58,23.37,0.35,0.17,0.44
"NULL_FOURFOLD","Taxon_014",100,12.01,14.41,0.99,0.93,1
"NULL_FOURFOLD","Taxon_015",100,32.84,36.24,0,0,0
"NULL_FOURFOLD","Taxon_016",100,29.6,35.15,0,0,0
"NULL_FOURFOLD","Taxon_017",100,40.85,44.99,0,0,0
"NULL_FOURFOLD","Taxon_018",100,19.94,22.86,0.49,0.22,0.61
"NULL_FOURFOLD","Taxon_019",100,18.92,23.19,0.56,0.15,0.62
"NULL_FOURFOLD","Taxon_020",100,29.47,33.61,0,0,0
"NULL_FOURFOLD","Taxon_021",100,20.67,25.08,0.31,0.06,0.34
"NULL_FOURFOLD","Taxon_022",100,10.89,13.01,1,0.98,1
"NULL_FOURFOLD","Taxon_023",100,19.73,23.71,0.52,0.11,0.59
"NULL_FOURFOLD","Taxon_024",100,24.43,30.7,0.11,0,0.11
"NULL_FOURFOLD","Taxon_025",100,16.42,21.25,0.85,0.31,0.88
"NULL_FOURFOLD","Taxon_026",100,32.3,35.02,0,0,0
"NULL_FOURFOLD","Taxon_027",100,24.65,31.68,0.09,0,0.09
"NULL_FOURFOLD","Taxon_028",100,25.46,32.12,0.03,0,0.03
"NULL_FOURFOLD","Taxon_029",100,24.82,31.75,0.09,0,0.09
"NULL_FOURFOLD","Taxon_030",100,24.21,32.84,0.07,0,0.07
"NULL_FOURFOLD","Taxon_031",100,14.46,19.54,0.92,0.49,0.95
"NULL_FOURFOLD","Taxon_032",100,21.35,28.61,0.39,0,0.39
"NULL_FOURFOLD","Taxon_033",100,15.44,21.89,0.9,0.22,0.92
"NULL_FOURFOLD","Taxon_034",100,13.9,19.23,0.94,0.56,0.97
"NULL_FOURFOLD","Taxon_035",100,17.12,23.82,0.79,0.11,0.81
"NULL_FOURFOLD","Taxon_036",100,12.07,16.69,0.99,0.81,1
"NULL_FOURFOLD","Taxon_037",100,12.51,19.15,0.99,0.51,1
"NULL_FOURFOLD","Taxon_038",100,18.89,28,0.57,0.02,0.57
"NULL_FOURFOLD","Taxon_039",100,14.24,16.29,0.96,0.86,1
"NULL_FOURFOLD","Taxon_040",100,11.6,13.66,0.99,0.99,1
"NULL_FOURFOLD","Taxon_041",100,21.63,32.96,0.26,0,0.26
"NULL_FOURFOLD","Taxon_042",100,16.43,25.33,0.84,0.04,0.84
"NULL_FOURFOLD","Taxon_043",100,12.58,19.53,0.97,0.52,0.98
"NULL_FOURFOLD","Taxon_044",100,14.66,17.89,0.96,0.62,0.98
"NULL_FOURFOLD","Taxon_045",100,18.93,27.99,0.54,0.01,0.55
"NULL_FOURFOLD","Taxon_046",100,15.56,24.12,0.87,0.09,0.89
"NULL_FOURFOLD","Taxon_047",100,16.19,26.49,0.84,0.05,0.84
"NULL_FOURFOLD","Taxon_048",100,12.37,21.73,0.97,0.28,0.97
"NULL_FOURFOLD","Taxon_049",100,17.07,29.59,0.81,0.01,0.81
"NULL_FOURFOLD","Taxon_050",100,14.56,23.01,0.97,0.16,0.97
