"dataset","dataset_label","replicate","scenario","method","n_taxa","n_available","availability_rate","n_bh_rejections","familywise_type_i_error"
"MehtaRS_2018","Mehta 2018",20,"fourfold","SACAT",30,30,1,0,0
"MehtaRS_2018","Mehta 2018",20,"fourfold","ZINQ",30,30,1,0,0
"MehtaRS_2018","Mehta 2018",20,"fourfold","MaAsLin3",30,29,0.966666666666667,0,0
"MehtaRS_2018","Mehta 2018",21,"balanced","SACAT",30,30,1,0,0
"MehtaRS_2018","Mehta 2018",21,"balanced","ZINQ",30,30,1,0,0
"MehtaRS_2018","Mehta 2018",21,"balanced","MaAsLin3",30,29,0.966666666666667,0,0
"MehtaRS_2018","Mehta 2018",21,"fourfold","SACAT",30,30,1,0,0
"MehtaRS_2018","Mehta 2018",21,"fourfold","ZINQ",30,30,1,0,0
"MehtaRS_2018","Mehta 2018",21,"fourfold","MaAsLin3",30,29,0.966666666666667,0,0
"MehtaRS_2018","Mehta 2018",22,"balanced","SACAT",30,30,1,0,0
"MehtaRS_2018","Mehta 2018",22,"balanced","ZINQ",30,30,1,0,0
"MehtaRS_2018","Mehta 2018",22,"balanced","MaAsLin3",30,29,0.966666666666667,0,0
"MehtaRS_2018","Mehta 2018",22,"fourfold","SACAT",30,30,1,0,0
"MehtaRS_2018","Mehta 2018",22,"fourfold","ZINQ",30,30,1,0,0
"MehtaRS_2018","Mehta 2018",22,"fourfold","MaAsLin3",30,29,0.966666666666667,0,0
"MehtaRS_2018","Mehta 2018",23,"balanced","SACAT",30,30,1,0,0
"MehtaRS_2018","Mehta 2018",23,"balanced","ZINQ",30,30,1,0,0
"MehtaRS_2018","Mehta 2018",23,"balanced","MaAsLin3",30,29,0.966666666666667,0,0
"MehtaRS_2018","Mehta 2018",23,"fourfold","SACAT",30,30,1,0,0
"MehtaRS_2018","Mehta 2018",23,"fourfold","ZINQ",30,30,1,0,0
"MehtaRS_2018","Mehta 2018",23,"fourfold","MaAsLin3",30,29,0.966666666666667,0,0
"MehtaRS_2018","Mehta 2018",24,"balanced","SACAT",30,30,1,0,0
"MehtaRS_2018","Mehta 2018",24,"balanced","ZINQ",30,30,1,0,0
"MehtaRS_2018","Mehta 2018",24,"balanced","MaAsLin3",30,29,0.966666666666667,0,0
"MehtaRS_2018","Mehta 2018",24,"fourfold","SACAT",30,30,1,0,0
"MehtaRS_2018","Mehta 2018",24,"fourfold","ZINQ",30,30,1,0,0
"MehtaRS_2018","Mehta 2018",24,"fourfold","MaAsLin3",30,29,0.966666666666667,0,0
"MehtaRS_2018","Mehta 2018",25,"balanced","SACAT",30,30,1,0,0
"MehtaRS_2018","Mehta 2018",25,"balanced","ZINQ",30,30,1,0,0
"MehtaRS_2018","Mehta 2018",25,"balanced","MaAsLin3",30,29,0.966666666666667,0,0
"MehtaRS_2018","Mehta 2018",25,"fourfold","SACAT",30,30,1,0,0
"MehtaRS_2018","Mehta 2018",25,"fourfold","ZINQ",30,30,1,0,0
"MehtaRS_2018","Mehta 2018",25,"fourfold","MaAsLin3",30,29,0.966666666666667,0,0
"MehtaRS_2018","Mehta 2018",26,"balanced","SACAT",30,30,1,0,0
"MehtaRS_2018","Mehta 2018",26,"balanced","ZINQ",30,30,1,0,0
"MehtaRS_2018","Mehta 2018",26,"balanced","MaAsLin3",30,29,0.966666666666667,0,0
"MehtaRS_2018","Mehta 2018",26,"fourfold","SACAT",30,30,1,0,0
"MehtaRS_2018","Mehta 2018",26,"fourfold","ZINQ",30,30,1,1,1
"MehtaRS_2018","Mehta 2018",26,"fourfold","MaAsLin3",30,29,0.966666666666667,0,0
"MehtaRS_2018","Mehta 2018",27,"balanced","SACAT",30,30,1,0,0
"MehtaRS_2018","Mehta 2018",27,"balanced","ZINQ",30,30,1,0,0
