"dataset","dataset_label","scenario","method","n_records","n_replicates","n_taxa","expected_records","complete"
"LiJ_2014","Li 2014","balanced","MaAsLin3",3000,100,30,3000,TRUE
"LiJ_2014","Li 2014","fourfold","MaAsLin3",3000,100,30,3000,TRUE
"Atlas1006","HITChip Atlas 1006","balanced","SACAT",3000,100,30,3000,TRUE
"Atlas1006","HITChip Atlas 1006","fourfold","SACAT",3000,100,30,3000,TRUE
"Atlas1006","HITChip Atlas 1006","balanced","ZINQ",3000,100,30,3000,TRUE
"Atlas1006","HITChip Atlas 1006","fourfold","ZINQ",3000,100,30,3000,TRUE
"Atlas1006","HITChip Atlas 1006","balanced","MaAsLin3",3000,100,30,3000,TRUE
"Atlas1006","HITChip Atlas 1006","fourfold","MaAsLin3",3000,100,30,3000,TRUE
"SchirmerM_2016","Schirmer 2016","balanced","SACAT",3000,100,30,3000,TRUE
"SchirmerM_2016","Schirmer 2016","fourfold","SACAT",3000,100,30,3000,TRUE
"SchirmerM_2016","Schirmer 2016","balanced","ZINQ",3000,100,30,3000,TRUE
"SchirmerM_2016","Schirmer 2016","fourfold","ZINQ",3000,100,30,3000,TRUE
"SchirmerM_2016","Schirmer 2016","balanced","MaAsLin3",3000,100,30,3000,TRUE
"SchirmerM_2016","Schirmer 2016","fourfold","MaAsLin3",3000,100,30,3000,TRUE
"ZeeviD_2015","Zeevi 2015","balanced","SACAT",3000,100,30,3000,TRUE
"ZeeviD_2015","Zeevi 2015","fourfold","SACAT",3000,100,30,3000,TRUE
"ZeeviD_2015","Zeevi 2015","balanced","ZINQ",3000,100,30,3000,TRUE
"ZeeviD_2015","Zeevi 2015","fourfold","ZINQ",3000,100,30,3000,TRUE
"ZeeviD_2015","Zeevi 2015","balanced","MaAsLin3",3000,100,30,3000,TRUE
"ZeeviD_2015","Zeevi 2015","fourfold","MaAsLin3",3000,100,30,3000,TRUE
"VilaAV_2018","Vila 2018","balanced","SACAT",3000,100,30,3000,TRUE
"VilaAV_2018","Vila 2018","fourfold","SACAT",3000,100,30,3000,TRUE
"VilaAV_2018","Vila 2018","balanced","ZINQ",3000,100,30,3000,TRUE
"VilaAV_2018","Vila 2018","fourfold","ZINQ",3000,100,30,3000,TRUE
"VilaAV_2018","Vila 2018","balanced","MaAsLin3",3000,100,30,3000,TRUE
"VilaAV_2018","Vila 2018","fourfold","MaAsLin3",3000,100,30,3000,TRUE
"YachidaS_2019","Yachida 2019","balanced","SACAT",3000,100,30,3000,TRUE
"YachidaS_2019","Yachida 2019","fourfold","SACAT",3000,100,30,3000,TRUE
"YachidaS_2019","Yachida 2019","balanced","ZINQ",3000,100,30,3000,TRUE
"YachidaS_2019","Yachida 2019","fourfold","ZINQ",3000,100,30,3000,TRUE
"YachidaS_2019","Yachida 2019","balanced","MaAsLin3",3000,100,30,3000,TRUE
"YachidaS_2019","Yachida 2019","fourfold","MaAsLin3",3000,100,30,3000,TRUE
