"dataset","taxon","method","family","component","reference_group","comparison_group","model_formula","available","reason","p_value","p_value_unfiltered","p_for_bh","q_value","native_q_value","significant","estimate","statistic","effect_definition","components_used","sensitivity_passed"
"qiita_1939_pediatric_crohn","Dorea","ZINQ abundance","ZINQ","abundance","Control","Crohn","age_z + sex + log_library_size_z + group",TRUE,"Available",0.441467868698487,0.441467868698487,0.441467868698487,0.714436550870834,,FALSE,,,"weighted Cauchy combination of nonzero quantile tests at 0.25, 0.50, and 0.75","",
"qiita_1939_pediatric_crohn","Dysgonomonas","ZINQ abundance","ZINQ","abundance","Control","Crohn","age_z + sex + log_library_size_z + group",TRUE,"Available",0.824125138961603,0.824125138961603,0.824125138961603,0.939325427203548,,FALSE,,,"weighted Cauchy combination of nonzero quantile tests at 0.25, 0.50, and 0.75","",
"qiita_1939_pediatric_crohn","Eggerthella","ZINQ abundance","ZINQ","abundance","Control","Crohn","age_z + sex + log_library_size_z + group",TRUE,"Available",0.222647059202881,0.222647059202881,0.222647059202881,0.445294118405763,,FALSE,,,"weighted Cauchy combination of nonzero quantile tests at 0.25, 0.50, and 0.75","",
"qiita_1939_pediatric_crohn","Enhydrobacter","ZINQ abundance","ZINQ","abundance","Control","Crohn","age_z + sex + log_library_size_z + group",TRUE,"Available",0.0286868745670139,0.0286868745670139,0.0286868745670139,0.165261413873427,,FALSE,,,"weighted Cauchy combination of nonzero quantile tests at 0.25, 0.50, and 0.75","",
"qiita_1939_pediatric_crohn","Enterobacter","ZINQ abundance","ZINQ","abundance","Control","Crohn","age_z + sex + log_library_size_z + group",TRUE,"Available",0.0129986530226591,0.0129986530226591,0.0129986530226591,0.110228577632149,,FALSE,,,"weighted Cauchy combination of nonzero quantile tests at 0.25, 0.50, and 0.75","",
"qiita_1939_pediatric_crohn","Enterococcus","ZINQ abundance","ZINQ","abundance","Control","Crohn","age_z + sex + log_library_size_z + group",TRUE,"Available",0.0431715346865558,0.0431715346865558,0.0431715346865558,0.190674278198955,,FALSE,,,"weighted Cauchy combination of nonzero quantile tests at 0.25, 0.50, and 0.75","",
"qiita_1939_pediatric_crohn","Epulopiscium","ZINQ abundance","ZINQ","abundance","Control","Crohn","age_z + sex + log_library_size_z + group",TRUE,"Available",0.883144314501073,0.883144314501073,0.883144314501073,0.960136382944757,,FALSE,,,"weighted Cauchy combination of nonzero quantile tests at 0.25, 0.50, and 0.75","",
"qiita_1939_pediatric_crohn","Erwinia","ZINQ abundance","ZINQ","abundance","Control","Crohn","age_z + sex + log_library_size_z + group",TRUE,"Available",0.0965615855267519,0.0965615855267519,0.0965615855267519,0.283722779291299,,FALSE,,,"weighted Cauchy combination of nonzero quantile tests at 0.25, 0.50, and 0.75","",
"qiita_1939_pediatric_crohn","Escherichia","ZINQ abundance","ZINQ","abundance","Control","Crohn","age_z + sex + log_library_size_z + group",TRUE,"Available",0.152027594683573,0.152027594683573,0.152027594683573,0.362133146886714,,FALSE,,,"weighted Cauchy combination of nonzero quantile tests at 0.25, 0.50, and 0.75","",
"qiita_1939_pediatric_crohn","Eubacterium","ZINQ abundance","ZINQ","abundance","Control","Crohn","age_z + sex + log_library_size_z + group",TRUE,"Available",0.0310196320346827,0.0310196320346827,0.0310196320346827,0.173056894509283,,FALSE,,,"weighted Cauchy combination of nonzero quantile tests at 0.25, 0.50, and 0.75","",
