"taxon","source_feature","direction","native_prevalence_spike_coefficient","structural_logit_absence_contrast","native_nonzero_absolute_logFC","null_baseline_conditional_mean_log_relative_contrast","abundance_raw_conditional_mean_log_relative_contrast","abundance_mapped_conditional_mean_log_relative_contrast","null_baseline_expected_detection_contrast_at_1500","abundance_raw_expected_detection_contrast_at_1500","abundance_expected_detection_contrast_at_1500","joint_raw_expected_detection_contrast_at_1500","joint_expected_detection_contrast_at_1500"
"Taxon_011","k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Barnesiella|s__Barnesiella_intestinihominis","positive",0.693147180559945,-0.693147180559945,0.693147180559945,-0.00843320659562785,0.286326678623857,0.294759885219484,0.00241862825880867,0.0152079320258944,0.0127893037670858,0.147009465218383,0.144590836959575
"Taxon_012","k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Parabacteroides|s__Parabacteroides_distasonis","positive",0.693147180559945,-0.693147180559945,0.693147180559945,-0.0079103546371595,0.345557953477645,0.353468308114804,0.00497449700001379,0.034411459880557,0.0294369628805433,0.125463734269026,0.120489237269013
"Taxon_013","k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae|g__Dialister|s__Dialister_invisus","positive",0.693147180559945,-0.693147180559945,0.693147180559945,-0.00948796047191358,0.220769768060521,0.230257728532434,-0.00388651544346413,0.0200915474627415,0.0239780629062056,0.14663193555492,0.150518450998384
"Taxon_014","k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae|g__Sutterella|s__Sutterella_wadsworthensis","positive",0.693147180559945,-0.693147180559945,0.693147180559945,-0.0211335854303005,0.266388131509495,0.287521716939795,-0.000539682155594717,0.00989212394070976,0.0104318060963045,0.136411107854986,0.136950790010581
"Taxon_015","k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_shahii","positive",0.693147180559945,-0.693147180559945,0.693147180559945,-0.0585695822003265,0.186756333992621,0.245325916192948,-0.00482392180860969,0.0228323978106825,0.0276563196192922,0.106248653883927,0.111072575692536
"Taxon_016","k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_thetaiotaomicron","positive",0.693147180559945,-0.693147180559945,0.693147180559945,0.0589100031236329,0.318889836575933,0.2599798334523,0.00340534839809659,0.0337788535726693,0.0303735051745727,0.11393770046968,0.110532352071583
"Taxon_017","k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_rectale","positive",0.693147180559945,-0.693147180559945,0.693147180559945,0.00419757087761852,0.186279119669603,0.182081548791984,-0.000619554718563342,0.0172689253258227,0.017888480044386,0.043843472390388,0.0444630271089513
"Taxon_018","k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_cellulosilyticus","positive",0.693147180559945,-0.693147180559945,0.693147180559945,-0.106037580490661,0.227584493318092,0.333622073808753,-0.00238960033086399,0.0263083220441742,0.0286979223750382,0.157359084302276,0.15974868463314
"Taxon_019","k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Verrucomicrobiaceae|g__Akkermansia|s__Akkermansia_muciniphila","positive",0.693147180559945,-0.693147180559945,0.693147180559945,0.02690995286894,0.338217480158264,0.311307527289324,-0.0044711129514069,0.0412569512210625,0.0457280641724694,0.150559418780673,0.15503053173208
"Taxon_020","k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_onderdonkii","positive",0.693147180559945,-0.693147180559945,0.693147180559945,-0.0117071311870376,0.249865347700672,0.261572478887709,0.00250115796430683,0.0227540941343856,0.0202529361700787,0.10492464751003,0.102423489545723
