"setting_id","depth_design","design_id","taxon","n_replications","n_per_group","mean_positive_control","mean_positive_control_mcse","mean_positive_control_ci95_lower","mean_positive_control_ci95_upper","min_positive_control","q05_positive_control","q25_positive_control","median_positive_control","q75_positive_control","q95_positive_control","max_positive_control","mean_positive_case","mean_positive_case_mcse","mean_positive_case_ci95_lower","mean_positive_case_ci95_upper","min_positive_case","q05_positive_case","q25_positive_case","median_positive_case","q75_positive_case","q95_positive_case","max_positive_case","probability_control_below_10","probability_case_below_10","probability_either_group_below_10","probability_control_below_20","probability_case_below_20","probability_either_group_below_20"
"NULL_BALANCED","balanced","BALANCED","Taxon_032",100,50,27.01,0.341267690184167,26.3328508641078,27.6871491358922,17,21.95,25,27,29.25,32.05,36,27.11,0.38056178568962,26.3548828537087,27.8651171462913,18,21,24.75,27,30,33,38,0,0,0,0.01,0.02,0.03
"NULL_BALANCED","balanced","BALANCED","Taxon_033",100,50,19.98,0.364589155797663,19.2565760167017,20.7034239832983,13,14,17.75,20,23,26,30,20.12,0.338827449307226,19.4476928314218,20.7923071685782,13,15,17.75,20,22,26,29,0,0,0,0.44,0.46,0.69
"NULL_BALANCED","balanced","BALANCED","Taxon_034",100,50,18,0.356186309210063,17.2932490873424,18.7067509126576,11,12.95,15.75,18,20,24,31,17.66,0.324494945564595,17.0161316283066,18.3038683716934,9,13,16,17,20,23,27,0,0.01,0.01,0.67,0.74,0.91
"NULL_BALANCED","balanced","BALANCED","Taxon_035",100,50,21.78,0.320851140788769,21.1433617275111,22.4166382724889,16,16,19.75,22,24,27.05,29,22.47,0.325500391782414,21.8241366048773,23.1158633951227,14,17,20.75,23,25,27,30,0,0,0,0.25,0.21,0.41
"NULL_BALANCED","balanced","BALANCED","Taxon_036",100,50,15.34,0.342663365153297,14.6600815421752,16.0199184578248,8,9.95,13,15,18,21,27,15.56,0.308571161348823,14.947727870881,16.172272129119,10,11,13,15,17,21,24,0.05,0,0.05,0.9,0.85,0.97
"NULL_BALANCED","balanced","BALANCED","Taxon_037",100,50,16.48,0.347714035530708,15.7900599163954,17.1699400836046,7,10,14,16.5,19,21.05,24,17.16,0.310333805292093,16.5442304028891,17.7757695971109,9,12,15,17,19,22.05,25,0.04,0.01,0.05,0.77,0.76,0.92
"NULL_BALANCED","balanced","BALANCED","Taxon_038",100,50,24.89,0.340200475655699,24.2149684492662,25.5650315507338,16,19,22.75,25,28,30,33,25.65,0.367732610366925,24.9203387208588,26.3796612791412,15,20,23,26,29,31.05,33,0,0,0,0.08,0.03,0.11
"NULL_BALANCED","balanced","BALANCED","Taxon_039",100,50,16.26,0.309649524919429,15.6455881636042,16.8744118363958,8,11.95,14,16,18,21.05,25,15.99,0.306658432037004,15.3815231408053,16.5984768591947,10,11,14,16,18,21,23,0.01,0,0.01,0.85,0.86,0.98
"NULL_BALANCED","balanced","BALANCED","Taxon_040",100,50,13.34,0.281848157415272,12.7807521082832,13.8992478917168,7,9,11.75,13,15,18,21,13.43,0.266763240088709,12.9006838569559,13.9593161430441,6,9,12,13,15,18,20,0.09,0.06,0.15,0.98,0.99,1
"NULL_BALANCED","balanced","BALANCED","Taxon_041",100,50,29.44,0.337045990927054,28.7712276313383,30.1087723686617,20,24.95,27,29,32,35,37,29.58,0.338200824924775,28.9089361901438,30.2510638098562,20,24.95,27,30,32,34,40,0,0,0,0,0,0
"NULL_BALANCED","balanced","BALANCED","Taxon_042",100,50,23.11,0.352736774838168,22.4100937119182,23.8099062880818,12,18,21,23,25,28.05,31,22.37,0.341018972190609,21.6933443745668,23.0466556254332,15,16.9,20,22,24,28,30,0,0,0,0.14,0.14,0.26
"NULL_BALANCED","balanced","BALANCED","Taxon_043",100,50,17.79,0.314078739403759,17.1667996411422,18.4132003588578,11,12,16,18,20,22.05,27,17.63,0.309986966164578,17.0149186069654,18.2450813930346,11,13,15,17,19,23.05,26,0,0,0,0.7,0.77,0.96
"NULL_BALANCED","balanced","BALANCED","Taxon_044",100,50,16.87,0.299040553312176,16.2766386649062,17.4633613350938,11,12,15,17,19,22,26,17.24,0.381946106516127,16.4821360608583,17.9978639391417,8,11,15,17,20,23,26,0,0.02,0.02,0.86,0.68,0.93
"NULL_BALANCED","balanced","BALANCED","Taxon_045",100,50,25.75,0.348554011581991,25.0583932216756,26.4416067783244,17,20,24,25,28,31.1,35,25.88,0.354275473482305,25.1770405999851,26.5829594000149,19,20.95,23,25.5,28,32.05,37,0,0,0,0.03,0.01,0.04
"NULL_BALANCED","balanced","BALANCED","Taxon_046",100,50,22.08,0.331412648271522,21.4224054053295,22.7375945946705,14,17,20,22,24,27.05,32,21.71,0.375861300444349,20.964209636213,22.455790363787,13,15,19,22,24,28.05,30,0,0,0,0.22,0.26,0.46
"NULL_BALANCED","balanced","BALANCED","Taxon_047",100,50,22.9,0.344509606087942,22.2164181996159,23.5835818003841,14,18,20,23,25,29,31,23.77,0.3938555854907,22.9885050707924,24.5514949292076,16,19,21,23,26,31,37,0,0,0,0.2,0.11,0.29
"NULL_BALANCED","balanced","BALANCED","Taxon_048",100,50,17.96,0.338123162068606,17.2890902900995,18.6309097099005,10,13,16,17.5,20,24,27,19.05,0.325165070744573,18.4048019545648,19.6951980454352,11,13.95,17,19,21,24.05,27,0,0,0,0.72,0.52,0.84
"NULL_BALANCED","balanced","BALANCED","Taxon_049",100,50,25.88,0.401582727303711,25.0831727450197,26.6768272549803,17,19.95,23,26,29,32,37,26.2,0.305505046330389,25.593811708276,26.806188291724,19,21,24,26,28,32,33,0,0,0,0.05,0.01,0.06
"NULL_BALANCED","balanced","BALANCED","Taxon_050",100,50,21.52,0.316381051418965,20.8922313546138,22.1477686453862,13,16.95,19,21.5,24,26,30,20.35,0.36386671996624,19.6280094861248,21.0719905138752,13,15,18,20,23,26.05,31,0,0,0,0.3,0.46,0.58
"NULL_BALANCED_LOW","balanced_low","BALANCED_LOW","Taxon_001",100,50,14.09,0.302546431865166,13.4896822412512,14.6903177587488,7,9,12,14,16,19,22,13.96,0.274108287972753,13.4161096884341,14.5038903115659,7,9,12,14,16,18,20,0.06,0.08,0.14,0.98,0.99,1
"NULL_BALANCED_LOW","balanced_low","BALANCED_LOW","Taxon_002",100,50,25.92,0.346025047262959,25.2334112355473,26.6065887644527,18,20,23.75,26,28,32,34,26.07,0.333713419665207,25.4078401757284,26.7321598242716,20,22,23,26,28,32.05,37,0,0,0,0.03,0,0.03
"NULL_BALANCED_LOW","balanced_low","BALANCED_LOW","Taxon_003",100,50,38.7,0.301343791719824,38.1020685402142,39.2979314597858,31,34,37,39,41,44,45,39.32,0.279205221218292,38.7659962670872,39.8740037329128,33,35,37,39,41,44,45,0,0,0,0,0,0
"NULL_BALANCED_LOW","balanced_low","BALANCED_LOW","Taxon_004",100,50,36.73,0.288449354832058,36.1576539004681,37.3023460995319,30,31.95,35,37,39,42,43,36.82,0.327642327774503,36.1698865391726,37.4701134608274,30,31,34.75,36.5,40,41.05,44,0,0,0,0,0,0
"NULL_BALANCED_LOW","balanced_low","BALANCED_LOW","Taxon_005",100,50,26.13,0.413082768628,25.3103541680801,26.9496458319199,19,19.95,23,26,29,33.05,38,26.2,0.421876519825171,25.3629054578866,27.0370945421134,15,18.95,24,26,29.25,32.05,35,0,0,0,0.05,0.07,0.12
"NULL_BALANCED_LOW","balanced_low","BALANCED_LOW","Taxon_006",100,50,40.48,0.233757190782282,40.0161750194946,40.9438249805054,35,36,39,40,42,44,45,40.76,0.283242409653397,40.1979856093575,41.3220143906425,34,36,38,41,43,45,46,0,0,0,0,0,0
"NULL_BALANCED_LOW","balanced_low","BALANCED_LOW","Taxon_007",100,50,25.03,0.362219588513695,24.3112777522745,25.7487222477255,15,19,23,25,28,30.05,34,25.79,0.340319220317001,25.1147328340963,26.4652671659037,18,20.95,24,26,28.25,31.05,33,0,0,0,0.06,0.03,0.09
