"setting_id","depth_design","design_id","calibration_role","method","component","domain","threshold","n_taxa","operational_tail_n","operational_tail_estimate","operational_tail_mcse","operational_tail_ci95_lower","operational_tail_ci95_upper","available_conditional_tail_n","available_conditional_tail_estimate","available_conditional_tail_mcse","available_conditional_tail_ci95_lower","available_conditional_tail_ci95_upper"
"NULL_BALANCED","balanced","BALANCED","primary exact global null; balanced standard depth","MaAsLin3","detected_log_abundance","abundance",0.025,50,100,0.02,0.00194884062918952,0.0161330773876218,0.0238669226123782,100,0.02,0.00194884062918952,0.0161330773876218,0.0238669226123782
"NULL_BALANCED","balanced","BALANCED","primary exact global null; balanced standard depth","MaAsLin3","detected_log_abundance","abundance",0.05,50,100,0.0434,0.00288577143372041,0.0376740034028081,0.0491259965971919,100,0.0434,0.00288577143372041,0.0376740034028081,0.0491259965971919
"NULL_BALANCED","balanced","BALANCED","primary exact global null; balanced standard depth","MaAsLin3","detected_log_abundance","abundance",0.1,50,100,0.088,0.00394917201397452,0.0801639859451411,0.0958360140548589,100,0.088,0.00394917201397452,0.0801639859451411,0.0958360140548589
"NULL_BALANCED_LOW","balanced_low","BALANCED_LOW","exact global null; balanced low-depth support stress","DASRA","structural_absence","prevalence",0.001,50,100,0.0032,0.000789834402794905,0.00163279718902822,0.00476720281097178,100,0.0033001917788392,0.000815783875784879,0.00168149958367597,0.00491888397400242
"NULL_BALANCED_LOW","balanced_low","BALANCED_LOW","exact global null; balanced low-depth support stress","DASRA","structural_absence","prevalence",0.005,50,100,0.0058,0.00111173719734459,0.0035940722073197,0.0080059277926803,100,0.00596740121580547,0.00114904734443071,0.0036874419968107,0.00824736043480024
"NULL_BALANCED_LOW","balanced_low","BALANCED_LOW","exact global null; balanced low-depth support stress","DASRA","structural_absence","prevalence",0.01,50,100,0.0088,0.00137275068546493,0.00607616481959861,0.0115238351804014,100,0.00902983789260385,0.0014132325347699,0.00622567794057997,0.0118339978446277
"NULL_BALANCED_LOW","balanced_low","BALANCED_LOW","exact global null; balanced low-depth support stress","DASRA","structural_absence","prevalence",0.025,50,100,0.0212,0.00225307870176868,0.0167294030466923,0.0256705969533077,100,0.0217824949498763,0.00231278439955961,0.0171934289389055,0.0263715609608471
"NULL_BALANCED_LOW","balanced_low","BALANCED_LOW","exact global null; balanced low-depth support stress","DASRA","structural_absence","prevalence",0.05,50,100,0.0412,0.00291037850292759,0.0354251776389584,0.0469748223610416,100,0.0423944698261667,0.002994699329125,0.0364523366524124,0.048336602999921
"NULL_BALANCED_LOW","balanced_low","BALANCED_LOW","exact global null; balanced low-depth support stress","DASRA","structural_absence","prevalence",0.1,50,100,0.0804,0.00404999064720207,0.0723639399040552,0.0884360600959448,100,0.0827545089790464,0.00416631834377235,0.0744876294956279,0.091021388462465
"NULL_BALANCED_LOW","balanced_low","BALANCED_LOW","exact global null; balanced low-depth support stress","DASRA","present_conditional_abundance","abundance",0.001,50,100,0.0034,0.000855404683011013,0.00170269152750314,0.00509730847249686,100,0.00383747396486462,0.000954787516381608,0.00194296838969714,0.00573197954003211
