"dataset","dataset_label","replicate","scenario","method","n_taxa","n_available","availability_rate","n_rejections","type1_error"
"ZeeviD_2015","Zeevi 2015",33,"fourfold","ZINQ",30,30,1,2,0.0666666666666667
"ZeeviD_2015","Zeevi 2015",33,"fourfold","MaAsLin3",30,28,0.933333333333333,0,0
"ZeeviD_2015","Zeevi 2015",34,"balanced","DASRA",30,30,1,1,0.0333333333333333
"ZeeviD_2015","Zeevi 2015",34,"balanced","ZINQ",30,30,1,2,0.0666666666666667
"ZeeviD_2015","Zeevi 2015",34,"balanced","MaAsLin3",30,27,0.9,0,0
"ZeeviD_2015","Zeevi 2015",34,"fourfold","DASRA",30,30,1,0,0
"ZeeviD_2015","Zeevi 2015",34,"fourfold","ZINQ",30,30,1,3,0.1
"ZeeviD_2015","Zeevi 2015",34,"fourfold","MaAsLin3",30,27,0.9,2,0.0666666666666667
"ZeeviD_2015","Zeevi 2015",35,"balanced","DASRA",30,30,1,3,0.1
"ZeeviD_2015","Zeevi 2015",35,"balanced","ZINQ",30,30,1,2,0.0666666666666667
"ZeeviD_2015","Zeevi 2015",35,"balanced","MaAsLin3",30,27,0.9,2,0.0666666666666667
"ZeeviD_2015","Zeevi 2015",35,"fourfold","DASRA",30,30,1,1,0.0333333333333333
"ZeeviD_2015","Zeevi 2015",35,"fourfold","ZINQ",30,30,1,2,0.0666666666666667
"ZeeviD_2015","Zeevi 2015",35,"fourfold","MaAsLin3",30,27,0.9,2,0.0666666666666667
"ZeeviD_2015","Zeevi 2015",36,"balanced","DASRA",30,30,1,1,0.0333333333333333
"ZeeviD_2015","Zeevi 2015",36,"balanced","ZINQ",30,30,1,2,0.0666666666666667
"ZeeviD_2015","Zeevi 2015",36,"balanced","MaAsLin3",30,26,0.866666666666667,2,0.0666666666666667
"ZeeviD_2015","Zeevi 2015",36,"fourfold","DASRA",30,30,1,1,0.0333333333333333
"ZeeviD_2015","Zeevi 2015",36,"fourfold","ZINQ",30,30,1,0,0
"ZeeviD_2015","Zeevi 2015",36,"fourfold","MaAsLin3",30,26,0.866666666666667,0,0
"ZeeviD_2015","Zeevi 2015",37,"balanced","DASRA",30,30,1,0,0
"ZeeviD_2015","Zeevi 2015",37,"balanced","ZINQ",30,30,1,1,0.0333333333333333
"ZeeviD_2015","Zeevi 2015",37,"balanced","MaAsLin3",30,26,0.866666666666667,1,0.0333333333333333
"ZeeviD_2015","Zeevi 2015",37,"fourfold","DASRA",30,30,1,1,0.0333333333333333
"ZeeviD_2015","Zeevi 2015",37,"fourfold","ZINQ",30,30,1,0,0
"ZeeviD_2015","Zeevi 2015",37,"fourfold","MaAsLin3",30,28,0.933333333333333,1,0.0333333333333333
"ZeeviD_2015","Zeevi 2015",38,"balanced","DASRA",30,30,1,2,0.0666666666666667
"ZeeviD_2015","Zeevi 2015",38,"balanced","ZINQ",30,30,1,3,0.1
"ZeeviD_2015","Zeevi 2015",38,"balanced","MaAsLin3",30,29,0.966666666666667,1,0.0333333333333333
"ZeeviD_2015","Zeevi 2015",38,"fourfold","DASRA",30,30,1,2,0.0666666666666667
"ZeeviD_2015","Zeevi 2015",38,"fourfold","ZINQ",30,30,1,2,0.0666666666666667
"ZeeviD_2015","Zeevi 2015",38,"fourfold","MaAsLin3",30,27,0.9,0,0
"ZeeviD_2015","Zeevi 2015",39,"balanced","DASRA",30,30,1,1,0.0333333333333333
"ZeeviD_2015","Zeevi 2015",39,"balanced","ZINQ",30,30,1,2,0.0666666666666667
"ZeeviD_2015","Zeevi 2015",39,"balanced","MaAsLin3",30,26,0.866666666666667,2,0.0666666666666667
"ZeeviD_2015","Zeevi 2015",39,"fourfold","DASRA",30,30,1,2,0.0666666666666667
"ZeeviD_2015","Zeevi 2015",39,"fourfold","ZINQ",30,30,1,0,0
"ZeeviD_2015","Zeevi 2015",39,"fourfold","MaAsLin3",30,27,0.9,2,0.0666666666666667
"ZeeviD_2015","Zeevi 2015",40,"balanced","DASRA",30,30,1,1,0.0333333333333333
"ZeeviD_2015","Zeevi 2015",40,"balanced","ZINQ",30,30,1,2,0.0666666666666667
"ZeeviD_2015","Zeevi 2015",40,"balanced","MaAsLin3",30,27,0.9,1,0.0333333333333333
"ZeeviD_2015","Zeevi 2015",40,"fourfold","DASRA",30,30,1,1,0.0333333333333333
"ZeeviD_2015","Zeevi 2015",40,"fourfold","ZINQ",30,30,1,1,0.0333333333333333
"ZeeviD_2015","Zeevi 2015",40,"fourfold","MaAsLin3",30,28,0.933333333333333,0,0
"ZeeviD_2015","Zeevi 2015",41,"balanced","DASRA",30,30,1,1,0.0333333333333333
"ZeeviD_2015","Zeevi 2015",41,"balanced","ZINQ",30,30,1,3,0.1
"ZeeviD_2015","Zeevi 2015",41,"balanced","MaAsLin3",30,28,0.933333333333333,3,0.1
"ZeeviD_2015","Zeevi 2015",41,"fourfold","DASRA",30,30,1,3,0.1
"ZeeviD_2015","Zeevi 2015",41,"fourfold","ZINQ",30,30,1,0,0
"ZeeviD_2015","Zeevi 2015",41,"fourfold","MaAsLin3",30,27,0.9,1,0.0333333333333333
"ZeeviD_2015","Zeevi 2015",42,"balanced","DASRA",30,30,1,1,0.0333333333333333
"ZeeviD_2015","Zeevi 2015",42,"balanced","ZINQ",30,30,1,2,0.0666666666666667
"ZeeviD_2015","Zeevi 2015",42,"balanced","MaAsLin3",30,27,0.9,1,0.0333333333333333
"ZeeviD_2015","Zeevi 2015",42,"fourfold","DASRA",30,30,1,1,0.0333333333333333
"ZeeviD_2015","Zeevi 2015",42,"fourfold","ZINQ",30,30,1,1,0.0333333333333333
"ZeeviD_2015","Zeevi 2015",42,"fourfold","MaAsLin3",30,26,0.866666666666667,1,0.0333333333333333
"ZeeviD_2015","Zeevi 2015",43,"balanced","DASRA",30,30,1,1,0.0333333333333333
"ZeeviD_2015","Zeevi 2015",43,"balanced","ZINQ",30,30,1,0,0
"ZeeviD_2015","Zeevi 2015",43,"balanced","MaAsLin3",30,28,0.933333333333333,1,0.0333333333333333
"ZeeviD_2015","Zeevi 2015",43,"fourfold","DASRA",30,30,1,1,0.0333333333333333
"ZeeviD_2015","Zeevi 2015",43,"fourfold","ZINQ",30,30,1,0,0
"ZeeviD_2015","Zeevi 2015",43,"fourfold","MaAsLin3",30,27,0.9,0,0
"ZeeviD_2015","Zeevi 2015",44,"balanced","DASRA",30,30,1,2,0.0666666666666667
"ZeeviD_2015","Zeevi 2015",44,"balanced","ZINQ",30,30,1,1,0.0333333333333333
"ZeeviD_2015","Zeevi 2015",44,"balanced","MaAsLin3",30,28,0.933333333333333,2,0.0666666666666667
"ZeeviD_2015","Zeevi 2015",44,"fourfold","DASRA",30,30,1,1,0.0333333333333333
"ZeeviD_2015","Zeevi 2015",44,"fourfold","ZINQ",30,30,1,1,0.0333333333333333
"ZeeviD_2015","Zeevi 2015",44,"fourfold","MaAsLin3",30,27,0.9,1,0.0333333333333333
"ZeeviD_2015","Zeevi 2015",45,"balanced","DASRA",30,30,1,1,0.0333333333333333
"ZeeviD_2015","Zeevi 2015",45,"balanced","ZINQ",30,30,1,1,0.0333333333333333
"ZeeviD_2015","Zeevi 2015",45,"balanced","MaAsLin3",30,27,0.9,1,0.0333333333333333
"ZeeviD_2015","Zeevi 2015",45,"fourfold","DASRA",30,30,1,1,0.0333333333333333
"ZeeviD_2015","Zeevi 2015",45,"fourfold","ZINQ",30,30,1,4,0.133333333333333
"ZeeviD_2015","Zeevi 2015",45,"fourfold","MaAsLin3",30,27,0.9,4,0.133333333333333
"ZeeviD_2015","Zeevi 2015",46,"balanced","DASRA",30,30,1,0,0
"ZeeviD_2015","Zeevi 2015",46,"balanced","ZINQ",30,30,1,1,0.0333333333333333
"ZeeviD_2015","Zeevi 2015",46,"balanced","MaAsLin3",30,27,0.9,0,0
"ZeeviD_2015","Zeevi 2015",46,"fourfold","DASRA",30,30,1,0,0
"ZeeviD_2015","Zeevi 2015",46,"fourfold","ZINQ",30,30,1,1,0.0333333333333333
"ZeeviD_2015","Zeevi 2015",46,"fourfold","MaAsLin3",30,27,0.9,0,0
"ZeeviD_2015","Zeevi 2015",47,"balanced","DASRA",30,30,1,1,0.0333333333333333
"ZeeviD_2015","Zeevi 2015",47,"balanced","ZINQ",30,30,1,0,0
"ZeeviD_2015","Zeevi 2015",47,"balanced","MaAsLin3",30,27,0.9,2,0.0666666666666667
"ZeeviD_2015","Zeevi 2015",47,"fourfold","DASRA",30,30,1,1,0.0333333333333333
"ZeeviD_2015","Zeevi 2015",47,"fourfold","ZINQ",30,30,1,0,0
"ZeeviD_2015","Zeevi 2015",47,"fourfold","MaAsLin3",30,28,0.933333333333333,1,0.0333333333333333
