"dataset","dataset_label","replicate","scenario","method","n_taxa","n_available","availability_rate","n_rejections","type1_error"
"Atlas1006","HITChip Atlas 1006",21,"balanced","DASRA",30,30,1,2,0.0666666666666667
"Atlas1006","HITChip Atlas 1006",21,"balanced","ZINQ",30,30,1,1,0.0333333333333333
"Atlas1006","HITChip Atlas 1006",21,"balanced","MaAsLin3",30,13,0.433333333333333,1,0.0333333333333333
"Atlas1006","HITChip Atlas 1006",21,"fourfold","DASRA",30,30,1,2,0.0666666666666667
"Atlas1006","HITChip Atlas 1006",21,"fourfold","ZINQ",30,30,1,1,0.0333333333333333
"Atlas1006","HITChip Atlas 1006",21,"fourfold","MaAsLin3",30,20,0.666666666666667,0,0
"Atlas1006","HITChip Atlas 1006",22,"balanced","DASRA",30,30,1,1,0.0333333333333333
"Atlas1006","HITChip Atlas 1006",22,"balanced","ZINQ",30,30,1,7,0.233333333333333
"Atlas1006","HITChip Atlas 1006",22,"balanced","MaAsLin3",30,8,0.266666666666667,1,0.0333333333333333
"Atlas1006","HITChip Atlas 1006",22,"fourfold","DASRA",30,30,1,4,0.133333333333333
"Atlas1006","HITChip Atlas 1006",22,"fourfold","ZINQ",30,30,1,1,0.0333333333333333
"Atlas1006","HITChip Atlas 1006",22,"fourfold","MaAsLin3",30,20,0.666666666666667,0,0
"Atlas1006","HITChip Atlas 1006",23,"balanced","DASRA",30,30,1,0,0
"Atlas1006","HITChip Atlas 1006",23,"balanced","ZINQ",30,30,1,3,0.1
"Atlas1006","HITChip Atlas 1006",23,"balanced","MaAsLin3",30,7,0.233333333333333,0,0
"Atlas1006","HITChip Atlas 1006",23,"fourfold","DASRA",30,30,1,0,0
"Atlas1006","HITChip Atlas 1006",23,"fourfold","ZINQ",30,30,1,0,0
"Atlas1006","HITChip Atlas 1006",23,"fourfold","MaAsLin3",30,22,0.733333333333333,0,0
"Atlas1006","HITChip Atlas 1006",24,"balanced","DASRA",30,30,1,1,0.0333333333333333
"Atlas1006","HITChip Atlas 1006",24,"balanced","ZINQ",30,30,1,0,0
"Atlas1006","HITChip Atlas 1006",24,"balanced","MaAsLin3",30,11,0.366666666666667,0,0
"Atlas1006","HITChip Atlas 1006",24,"fourfold","DASRA",30,30,1,0,0
"Atlas1006","HITChip Atlas 1006",24,"fourfold","ZINQ",30,30,1,0,0
"Atlas1006","HITChip Atlas 1006",24,"fourfold","MaAsLin3",30,23,0.766666666666667,0,0
"Atlas1006","HITChip Atlas 1006",25,"balanced","DASRA",30,30,1,1,0.0333333333333333
"Atlas1006","HITChip Atlas 1006",25,"balanced","ZINQ",30,30,1,1,0.0333333333333333
"Atlas1006","HITChip Atlas 1006",25,"balanced","MaAsLin3",30,9,0.3,0,0
"Atlas1006","HITChip Atlas 1006",25,"fourfold","DASRA",30,30,1,0,0
"Atlas1006","HITChip Atlas 1006",25,"fourfold","ZINQ",30,30,1,1,0.0333333333333333
"Atlas1006","HITChip Atlas 1006",25,"fourfold","MaAsLin3",30,18,0.6,1,0.0333333333333333
"Atlas1006","HITChip Atlas 1006",26,"balanced","DASRA",30,30,1,0,0
"Atlas1006","HITChip Atlas 1006",26,"balanced","ZINQ",30,30,1,5,0.166666666666667
"Atlas1006","HITChip Atlas 1006",26,"balanced","MaAsLin3",30,9,0.3,1,0.0333333333333333
"Atlas1006","HITChip Atlas 1006",26,"fourfold","DASRA",30,30,1,0,0
"Atlas1006","HITChip Atlas 1006",26,"fourfold","ZINQ",30,30,1,1,0.0333333333333333
"Atlas1006","HITChip Atlas 1006",26,"fourfold","MaAsLin3",30,23,0.766666666666667,2,0.0666666666666667
"Atlas1006","HITChip Atlas 1006",27,"balanced","DASRA",30,30,1,0,0
"Atlas1006","HITChip Atlas 1006",27,"balanced","ZINQ",30,30,1,1,0.0333333333333333
"Atlas1006","HITChip Atlas 1006",27,"balanced","MaAsLin3",30,10,0.333333333333333,1,0.0333333333333333
"Atlas1006","HITChip Atlas 1006",27,"fourfold","DASRA",30,30,1,0,0
"Atlas1006","HITChip Atlas 1006",27,"fourfold","ZINQ",30,30,1,1,0.0333333333333333
"Atlas1006","HITChip Atlas 1006",27,"fourfold","MaAsLin3",30,17,0.566666666666667,0,0
"Atlas1006","HITChip Atlas 1006",28,"balanced","DASRA",30,30,1,0,0
"Atlas1006","HITChip Atlas 1006",28,"balanced","ZINQ",30,30,1,1,0.0333333333333333
"Atlas1006","HITChip Atlas 1006",28,"balanced","MaAsLin3",30,9,0.3,0,0
"Atlas1006","HITChip Atlas 1006",28,"fourfold","DASRA",30,30,1,0,0
"Atlas1006","HITChip Atlas 1006",28,"fourfold","ZINQ",30,30,1,0,0
"Atlas1006","HITChip Atlas 1006",28,"fourfold","MaAsLin3",30,17,0.566666666666667,0,0
"Atlas1006","HITChip Atlas 1006",29,"balanced","DASRA",30,30,1,1,0.0333333333333333
"Atlas1006","HITChip Atlas 1006",29,"balanced","ZINQ",30,30,1,1,0.0333333333333333
"Atlas1006","HITChip Atlas 1006",29,"balanced","MaAsLin3",30,12,0.4,1,0.0333333333333333
"Atlas1006","HITChip Atlas 1006",29,"fourfold","DASRA",30,30,1,1,0.0333333333333333
"Atlas1006","HITChip Atlas 1006",29,"fourfold","ZINQ",30,30,1,3,0.1
"Atlas1006","HITChip Atlas 1006",29,"fourfold","MaAsLin3",30,14,0.466666666666667,2,0.0666666666666667
"Atlas1006","HITChip Atlas 1006",30,"balanced","DASRA",30,30,1,1,0.0333333333333333
"Atlas1006","HITChip Atlas 1006",30,"balanced","ZINQ",30,30,1,1,0.0333333333333333
"Atlas1006","HITChip Atlas 1006",30,"balanced","MaAsLin3",30,13,0.433333333333333,0,0
"Atlas1006","HITChip Atlas 1006",30,"fourfold","DASRA",30,30,1,0,0
"Atlas1006","HITChip Atlas 1006",30,"fourfold","ZINQ",30,30,1,1,0.0333333333333333
"Atlas1006","HITChip Atlas 1006",30,"fourfold","MaAsLin3",30,19,0.633333333333333,1,0.0333333333333333
"Atlas1006","HITChip Atlas 1006",31,"balanced","DASRA",30,30,1,0,0
"Atlas1006","HITChip Atlas 1006",31,"balanced","ZINQ",30,30,1,0,0
"Atlas1006","HITChip Atlas 1006",31,"balanced","MaAsLin3",30,8,0.266666666666667,0,0
"Atlas1006","HITChip Atlas 1006",31,"fourfold","DASRA",30,30,1,0,0
"Atlas1006","HITChip Atlas 1006",31,"fourfold","ZINQ",30,30,1,0,0
"Atlas1006","HITChip Atlas 1006",31,"fourfold","MaAsLin3",30,17,0.566666666666667,0,0
"Atlas1006","HITChip Atlas 1006",32,"balanced","DASRA",30,30,1,0,0
"Atlas1006","HITChip Atlas 1006",32,"balanced","ZINQ",30,30,1,1,0.0333333333333333
"Atlas1006","HITChip Atlas 1006",32,"balanced","MaAsLin3",30,9,0.3,0,0
"Atlas1006","HITChip Atlas 1006",32,"fourfold","DASRA",30,30,1,1,0.0333333333333333
"Atlas1006","HITChip Atlas 1006",32,"fourfold","ZINQ",30,30,1,1,0.0333333333333333
"Atlas1006","HITChip Atlas 1006",32,"fourfold","MaAsLin3",30,22,0.733333333333333,0,0
"Atlas1006","HITChip Atlas 1006",33,"balanced","DASRA",30,30,1,1,0.0333333333333333
"Atlas1006","HITChip Atlas 1006",33,"balanced","ZINQ",30,30,1,2,0.0666666666666667
"Atlas1006","HITChip Atlas 1006",33,"balanced","MaAsLin3",30,8,0.266666666666667,0,0
"Atlas1006","HITChip Atlas 1006",33,"fourfold","DASRA",30,30,1,0,0
"Atlas1006","HITChip Atlas 1006",33,"fourfold","ZINQ",30,30,1,2,0.0666666666666667
"Atlas1006","HITChip Atlas 1006",33,"fourfold","MaAsLin3",30,16,0.533333333333333,2,0.0666666666666667
"Atlas1006","HITChip Atlas 1006",34,"balanced","DASRA",30,30,1,0,0
"Atlas1006","HITChip Atlas 1006",34,"balanced","ZINQ",30,30,1,2,0.0666666666666667
