"design","allocation_id","depth","target_library_size","median_library_size","taxon","target_set","method","component","available","reason","p_value","estimate","q_value","significant","d6300_comparison_cells"
"null",1,"native",,21398,"Truepera_radiovictrix","Abundance targets","MaAsLin3 abundance","abundance",TRUE,"available",0.43383946066724,-0.112895819507626,1,FALSE,"1;2;3;4;13;14;15;16"
"null",1,"native",,21398,"Bacillus_subtilis","Structural targets","ZINQ prevalence","prevalence",TRUE,"available",0.862080677830459,,0.886177880418995,FALSE,"1;2;3;4;13;14;15;16"
"null",1,"native",,21398,"Enterococcus_faecalis","Structural targets","ZINQ prevalence","prevalence",TRUE,"available",0.555294933835923,,0.886177880418995,FALSE,"1;2;3;4;13;14;15;16"
"null",1,"native",,21398,"Escherichia_coli","Structural targets","ZINQ prevalence","prevalence",TRUE,"available",0.596540170704551,,0.886177880418995,FALSE,"1;2;3;4;13;14;15;16"
"null",1,"native",,21398,"Lactobacillus_fermentum","Structural targets","ZINQ prevalence","prevalence",TRUE,"available",0.596540170704551,,0.886177880418995,FALSE,"1;2;3;4;13;14;15;16"
"null",1,"native",,21398,"Listeria_monocytogenes","Structural targets","ZINQ prevalence","prevalence",TRUE,"available",0.423477187070555,,0.886177880418995,FALSE,"1;2;3;4;13;14;15;16"
"null",1,"native",,21398,"Pseudomonas_aeruginosa","Structural targets","ZINQ prevalence","prevalence",TRUE,"available",0.886177880418995,,0.886177880418995,FALSE,"1;2;3;4;13;14;15;16"
"null",1,"native",,21398,"Salmonella_enterica","Structural targets","ZINQ prevalence","prevalence",TRUE,"available",0.848153400192252,,0.886177880418995,FALSE,"1;2;3;4;13;14;15;16"
"null",1,"native",,21398,"Staphylococcus_aureus","Structural targets","ZINQ prevalence","prevalence",TRUE,"available",0.556255189134503,,0.886177880418995,FALSE,"1;2;3;4;13;14;15;16"
"null",1,"native",,21398,"Allobacillus_halotolerans","Abundance targets","ZINQ prevalence","prevalence",TRUE,"available",0.578478251768686,,0.886177880418995,FALSE,"1;2;3;4;13;14;15;16"
"null",1,"native",,21398,"Imtechella_halotolerans","Abundance targets","ZINQ prevalence","prevalence",TRUE,"available",0.469027004834939,,0.886177880418995,FALSE,"1;2;3;4;13;14;15;16"
"null",1,"native",,21398,"Truepera_radiovictrix","Abundance targets","ZINQ prevalence","prevalence",TRUE,"available",0.659399855694553,,0.886177880418995,FALSE,"1;2;3;4;13;14;15;16"
"null",1,"native",,21398,"Bacillus_subtilis","Structural targets","ZINQ abundance","abundance",TRUE,"available",0.887828546877771,,0.959906689719165,FALSE,"1;2;3;4;13;14;15;16"
"null",1,"native",,21398,"Enterococcus_faecalis","Structural targets","ZINQ abundance","abundance",TRUE,"available",0.39272791891427,,0.959906689719165,FALSE,"1;2;3;4;13;14;15;16"
"null",1,"native",,21398,"Escherichia_coli","Structural targets","ZINQ abundance","abundance",TRUE,"available",0.518753631548464,,0.959906689719165,FALSE,"1;2;3;4;13;14;15;16"
"null",1,"native",,21398,"Lactobacillus_fermentum","Structural targets","ZINQ abundance","abundance",TRUE,"available",0.585955255925145,,0.959906689719165,FALSE,"1;2;3;4;13;14;15;16"
"null",1,"native",,21398,"Listeria_monocytogenes","Structural targets","ZINQ abundance","abundance",TRUE,"available",0.725103399966265,,0.959906689719165,FALSE,"1;2;3;4;13;14;15;16"
"null",1,"native",,21398,"Pseudomonas_aeruginosa","Structural targets","ZINQ abundance","abundance",TRUE,"available",0.617834243641451,,0.959906689719165,FALSE,"1;2;3;4;13;14;15;16"
"null",1,"native",,21398,"Salmonella_enterica","Structural targets","ZINQ abundance","abundance",TRUE,"available",0.795412163563155,,0.959906689719165,FALSE,"1;2;3;4;13;14;15;16"
"null",1,"native",,21398,"Staphylococcus_aureus","Structural targets","ZINQ abundance","abundance",TRUE,"available",0.0901428904706608,,0.959906689719165,FALSE,"1;2;3;4;13;14;15;16"
