"dataset","dataset_label","replicate","scenario","method","n_taxa","n_available","availability_rate","n_bh_rejections","familywise_type_i_error"
"Qiita11993Colombia","Colombia Westernization",24,"fourfold","SACAT",30,30,1,0,0
"Qiita11993Colombia","Colombia Westernization",24,"fourfold","ZINQ",30,30,1,0,0
"Qiita11993Colombia","Colombia Westernization",24,"fourfold","MaAsLin3",30,30,1,0,0
"Qiita11993Colombia","Colombia Westernization",25,"balanced","SACAT",30,30,1,0,0
"Qiita11993Colombia","Colombia Westernization",25,"balanced","ZINQ",30,30,1,0,0
"Qiita11993Colombia","Colombia Westernization",25,"balanced","MaAsLin3",30,30,1,0,0
"Qiita11993Colombia","Colombia Westernization",25,"fourfold","SACAT",30,30,1,0,0
"Qiita11993Colombia","Colombia Westernization",25,"fourfold","ZINQ",30,30,1,0,0
"Qiita11993Colombia","Colombia Westernization",25,"fourfold","MaAsLin3",30,30,1,0,0
"Qiita11993Colombia","Colombia Westernization",26,"balanced","SACAT",30,30,1,0,0
"Qiita11993Colombia","Colombia Westernization",26,"balanced","ZINQ",30,30,1,0,0
"Qiita11993Colombia","Colombia Westernization",26,"balanced","MaAsLin3",30,29,0.966666666666667,0,0
"Qiita11993Colombia","Colombia Westernization",26,"fourfold","SACAT",30,30,1,0,0
"Qiita11993Colombia","Colombia Westernization",26,"fourfold","ZINQ",30,30,1,0,0
"Qiita11993Colombia","Colombia Westernization",26,"fourfold","MaAsLin3",30,30,1,0,0
"Qiita11993Colombia","Colombia Westernization",27,"balanced","SACAT",30,30,1,0,0
"Qiita11993Colombia","Colombia Westernization",27,"balanced","ZINQ",30,30,1,0,0
"Qiita11993Colombia","Colombia Westernization",27,"balanced","MaAsLin3",30,29,0.966666666666667,0,0
"Qiita11993Colombia","Colombia Westernization",27,"fourfold","SACAT",30,30,1,0,0
"Qiita11993Colombia","Colombia Westernization",27,"fourfold","ZINQ",30,30,1,0,0
"Qiita11993Colombia","Colombia Westernization",27,"fourfold","MaAsLin3",30,30,1,0,0
"Qiita11993Colombia","Colombia Westernization",28,"balanced","SACAT",30,30,1,0,0
"Qiita11993Colombia","Colombia Westernization",28,"balanced","ZINQ",30,30,1,0,0
"Qiita11993Colombia","Colombia Westernization",28,"balanced","MaAsLin3",30,30,1,0,0
"Qiita11993Colombia","Colombia Westernization",28,"fourfold","SACAT",30,30,1,0,0
"Qiita11993Colombia","Colombia Westernization",28,"fourfold","ZINQ",30,30,1,0,0
"Qiita11993Colombia","Colombia Westernization",28,"fourfold","MaAsLin3",30,30,1,0,0
"Qiita11993Colombia","Colombia Westernization",29,"balanced","SACAT",30,30,1,0,0
"Qiita11993Colombia","Colombia Westernization",29,"balanced","ZINQ",30,30,1,0,0
"Qiita11993Colombia","Colombia Westernization",29,"balanced","MaAsLin3",30,30,1,0,0
"Qiita11993Colombia","Colombia Westernization",29,"fourfold","SACAT",30,30,1,0,0
"Qiita11993Colombia","Colombia Westernization",29,"fourfold","ZINQ",30,30,1,0,0
"Qiita11993Colombia","Colombia Westernization",29,"fourfold","MaAsLin3",30,29,0.966666666666667,0,0
"Qiita11993Colombia","Colombia Westernization",30,"balanced","SACAT",30,30,1,0,0
"Qiita11993Colombia","Colombia Westernization",30,"balanced","ZINQ",30,30,1,0,0
"Qiita11993Colombia","Colombia Westernization",30,"balanced","MaAsLin3",30,30,1,0,0
"Qiita11993Colombia","Colombia Westernization",30,"fourfold","SACAT",30,30,1,0,0
"Qiita11993Colombia","Colombia Westernization",30,"fourfold","ZINQ",30,30,1,0,0
"Qiita11993Colombia","Colombia Westernization",30,"fourfold","MaAsLin3",30,30,1,0,0
"Qiita11993Colombia","Colombia Westernization",31,"balanced","SACAT",30,30,1,0,0
"Qiita11993Colombia","Colombia Westernization",31,"balanced","ZINQ",30,30,1,0,0
"Qiita11993Colombia","Colombia Westernization",31,"balanced","MaAsLin3",30,29,0.966666666666667,0,0
"Qiita11993Colombia","Colombia Westernization",31,"fourfold","SACAT",30,30,1,0,0
"Qiita11993Colombia","Colombia Westernization",31,"fourfold","ZINQ",30,30,1,0,0
"Qiita11993Colombia","Colombia Westernization",31,"fourfold","MaAsLin3",30,30,1,0,0
"Qiita11993Colombia","Colombia Westernization",32,"balanced","SACAT",30,30,1,0,0
"Qiita11993Colombia","Colombia Westernization",32,"balanced","ZINQ",30,30,1,0,0
"Qiita11993Colombia","Colombia Westernization",32,"balanced","MaAsLin3",30,29,0.966666666666667,0,0
"Qiita11993Colombia","Colombia Westernization",32,"fourfold","SACAT",30,30,1,0,0
"Qiita11993Colombia","Colombia Westernization",32,"fourfold","ZINQ",30,30,1,0,0
"Qiita11993Colombia","Colombia Westernization",32,"fourfold","MaAsLin3",30,30,1,0,0
"Qiita11993Colombia","Colombia Westernization",33,"balanced","SACAT",30,30,1,0,0
"Qiita11993Colombia","Colombia Westernization",33,"balanced","ZINQ",30,30,1,0,0
"Qiita11993Colombia","Colombia Westernization",33,"balanced","MaAsLin3",30,30,1,0,0
"Qiita11993Colombia","Colombia Westernization",33,"fourfold","SACAT",30,30,1,0,0
"Qiita11993Colombia","Colombia Westernization",33,"fourfold","ZINQ",30,30,1,1,1
"Qiita11993Colombia","Colombia Westernization",33,"fourfold","MaAsLin3",30,30,1,0,0
"Qiita11993Colombia","Colombia Westernization",34,"balanced","SACAT",30,30,1,0,0
