"setting_id","scenario","depth_design","method","component","multiplicity","metric","n_replications","estimate","mcse","ci95_lower","ci95_upper"
"JOINT_FOURFOLD","joint","FOURFOLD","metagenomeSeq","general_abundance","raw","available_fraction",100,0.93,0.0256432399976243,0.879740173157739,0.98025982684226
"JOINT_FOURFOLD","joint","FOURFOLD","DASRA","present_conditional_abundance","raw","available_fraction",100,0.9746,0.00216220986843357,0.970362146530853,0.978837853469147
"JOINT_FOURFOLD","joint","FOURFOLD","LinDA","general_abundance","raw","available_fraction",100,1,0,1,1
"JOINT_FOURFOLD","joint","FOURFOLD","ZINQ","detected_quantile_abundance","raw","available_fraction",100,1,0,1,1
"JOINT_FOURFOLD","joint","FOURFOLD","MaAsLin 3","observed_prevalence","raw","available_fraction",100,1,0,1,1
"JOINT_FOURFOLD","joint","FOURFOLD","ANCOM-BC2","general_abundance","raw","available_fraction",100,1,0,1,1
"JOINT_FOURFOLD","joint","FOURFOLD","ZINQ","observed_prevalence","raw","available_fraction",100,1,0,1,1
"ABUND40_SAME_BALANCED","abundance_same_direction_40","BALANCED","DASRA","structural_absence","raw","available_fraction",100,0.9976,0.000766995976705764,0.99609671550937,0.99910328449063
"ABUND40_SAME_BALANCED","abundance_same_direction_40","BALANCED","edgeR","general_abundance","raw","available_fraction",100,0.8822,0.00618825867708723,0.870071235865892,0.894328764134108
"ABUND40_SAME_BALANCED","abundance_same_direction_40","BALANCED","DESeq2","general_abundance","raw","available_fraction",100,1,0,1,1
"ABUND40_SAME_BALANCED","abundance_same_direction_40","BALANCED","corncob","general_abundance","raw","available_fraction",100,1,0,1,1
"ABUND40_SAME_BALANCED","abundance_same_direction_40","BALANCED","MaAsLin 3","detected_log_abundance","raw","available_fraction",100,1,0,1,1
"ABUND40_SAME_BALANCED","abundance_same_direction_40","BALANCED","metagenomeSeq","general_abundance","raw","available_fraction",100,0.98,0.014070529413629,0.952422269105876,1
"ABUND40_SAME_BALANCED","abundance_same_direction_40","BALANCED","DASRA","present_conditional_abundance","raw","available_fraction",100,0.9876,0.00157710897761465,0.98450892320418,0.99069107679582
"ABUND40_SAME_BALANCED","abundance_same_direction_40","BALANCED","LinDA","general_abundance","raw","available_fraction",100,1,0,1,1
