"setting_id","method","component","status","n","available_fraction","finite_p_fraction"
"ABUND40_SAME_BALANCED","DASRA","present_conditional_abundance","ok",4938,1,1
"ABUND40_SAME_BALANCED","LinDA","general_abundance","ok",5000,1,1
"ABUND40_SAME_BALANCED","ZINQ","detected_quantile_abundance","ok",5000,1,1
"ABUND40_SAME_BALANCED","MaAsLin 3","observed_prevalence","ok",5000,1,1
"ABUND40_SAME_BALANCED","ANCOM-BC2","general_abundance","ok",4493,1,1
"ABUND40_SAME_BALANCED","ZINQ","observed_prevalence","ok",5000,1,1
"ABUND40_SAME_BALANCED","ANCOM-BC2","general_abundance","ok_after_sensitivity_exclusion",507,1,1
"ABUND40_SAME_BALANCED","edgeR","general_abundance","filterByExpr_excluded",589,0,0
"ABUND60_SAME_BALANCED","DASRA","structural_absence","ok",4986,1,1
"ABUND60_SAME_BALANCED","edgeR","general_abundance","ok",4314,1,1
"ABUND60_SAME_BALANCED","DESeq2","general_abundance","ok",5000,1,1
"ABUND60_SAME_BALANCED","corncob","general_abundance","ok",5000,1,1
"ABUND60_SAME_BALANCED","MaAsLin 3","detected_log_abundance","ok",5000,1,1
"ABUND60_SAME_BALANCED","metagenomeSeq","general_abundance","ok",4750,1,1
"ABUND60_SAME_BALANCED","DASRA","present_conditional_abundance","ok",4938,1,1
"ABUND60_SAME_BALANCED","LinDA","general_abundance","ok",5000,1,1
"ABUND60_SAME_BALANCED","ZINQ","detected_quantile_abundance","ok",5000,1,1
"ABUND60_SAME_BALANCED","MaAsLin 3","observed_prevalence","ok",5000,1,1
"ABUND60_SAME_BALANCED","ANCOM-BC2","general_abundance","ok",4561,1,1
"ABUND60_SAME_BALANCED","ZINQ","observed_prevalence","ok",5000,1,1
"ABUND60_SAME_BALANCED","edgeR","general_abundance","filterByExpr_excluded",686,0,0
"ABUND60_SAME_BALANCED","ANCOM-BC2","general_abundance","ok_after_sensitivity_exclusion",439,1,1
"STRUCT_BALANCED","DASRA","present_conditional_abundance","multiple_root_effect_disagreement",15,0,1
"STRUCT_BALANCED","DASRA","present_conditional_abundance","estimating_equation_residue",61,0,1
"STRUCT_FOURFOLD","DASRA","present_conditional_abundance","multiple_root_effect_disagreement",10,0,1
