"setting_id","taxon","n_replications","mean_positive_control","mean_positive_case","probability_control_below_20","probability_case_below_20","probability_either_group_below_20"
"STRUCT_BALANCED","Taxon_011",100,47.15,46.81,0,0,0
"STRUCT_BALANCED","Taxon_012",100,64.18,64.86,0,0,0
"STRUCT_BALANCED","Taxon_013",100,53.35,54.29,0,0,0
"STRUCT_BALANCED","Taxon_014",100,33.81,34.64,0,0.04,0.04
"STRUCT_BALANCED","Taxon_015",100,84.1,84.68,0,0,0
"STRUCT_BALANCED","Taxon_016",100,81.21,78.35,0,0,0
"STRUCT_BALANCED","Taxon_017",100,105.57,105.97,0,0,0
"STRUCT_BALANCED","Taxon_018",100,54.86,53.8,0,0,0
"STRUCT_BALANCED","Taxon_019",100,52.33,51.52,0,0,0
"STRUCT_BALANCED","Taxon_020",100,78.27,77.77,0,0,0
"STRUCT_BALANCED","Taxon_021",100,57.52,58.11,0,0,0
"STRUCT_BALANCED","Taxon_022",100,29.74,30.22,0.01,0.1,0.11
"STRUCT_BALANCED","Taxon_023",100,55.49,54.5,0,0,0
"STRUCT_BALANCED","Taxon_024",100,70.07,67.61,0,0,0
"STRUCT_BALANCED","Taxon_025",100,45.77,45.74,0,0,0
"STRUCT_BALANCED","Taxon_026",100,82.12,82.51,0,0,0
"STRUCT_BALANCED","Taxon_027",100,69.97,69.45,0,0,0
"STRUCT_BALANCED","Taxon_028",100,72.57,72.36,0,0,0
"STRUCT_BALANCED","Taxon_029",100,70.98,71.08,0,0,0
"STRUCT_BALANCED","Taxon_030",100,72.48,73.82,0,0,0
"STRUCT_BALANCED","Taxon_031",100,43.38,43.57,0,0,0
"STRUCT_BALANCED","Taxon_032",100,63.51,63.25,0,0,0
"STRUCT_BALANCED","Taxon_033",100,48.2,47.54,0,0,0
"STRUCT_BALANCED","Taxon_034",100,41.99,42.49,0,0.02,0.02
"STRUCT_BALANCED","Taxon_035",100,53.57,52.35,0,0,0
"STRUCT_BALANCED","Taxon_036",100,36.82,37.6,0,0.01,0.01
"STRUCT_BALANCED","Taxon_037",100,40.38,41.3,0,0,0
"STRUCT_BALANCED","Taxon_038",100,61.06,59.89,0,0,0
"STRUCT_BALANCED","Taxon_039",100,38.65,37.22,0,0.04,0.04
"STRUCT_BALANCED","Taxon_040",100,32.14,32.04,0,0.06,0.06
