"dataset","dataset_label","replicate","scenario","method","n_taxa","n_available","availability_rate","n_bh_rejections","familywise_type_i_error"
"Qiita13631ASD","ASD Dan 2020",34,"fourfold","ZINQ",30,30,1,0,0
"Qiita13631ASD","ASD Dan 2020",34,"fourfold","MaAsLin3",30,23,0.766666666666667,0,0
"Qiita13631ASD","ASD Dan 2020",35,"balanced","SACAT",30,30,1,0,0
"Qiita13631ASD","ASD Dan 2020",35,"balanced","ZINQ",30,30,1,0,0
"Qiita13631ASD","ASD Dan 2020",35,"balanced","MaAsLin3",30,17,0.566666666666667,0,0
"Qiita13631ASD","ASD Dan 2020",35,"fourfold","SACAT",30,30,1,0,0
"Qiita13631ASD","ASD Dan 2020",35,"fourfold","ZINQ",30,30,1,0,0
"Qiita13631ASD","ASD Dan 2020",35,"fourfold","MaAsLin3",30,23,0.766666666666667,0,0
"Qiita13631ASD","ASD Dan 2020",36,"balanced","SACAT",30,30,1,0,0
"Qiita13631ASD","ASD Dan 2020",36,"balanced","ZINQ",30,30,1,0,0
"Qiita13631ASD","ASD Dan 2020",36,"balanced","MaAsLin3",30,18,0.6,0,0
"Qiita13631ASD","ASD Dan 2020",36,"fourfold","SACAT",30,30,1,0,0
"Qiita13631ASD","ASD Dan 2020",36,"fourfold","ZINQ",30,30,1,0,0
"Qiita13631ASD","ASD Dan 2020",36,"fourfold","MaAsLin3",30,21,0.7,0,0
"Qiita13631ASD","ASD Dan 2020",37,"balanced","SACAT",30,30,1,0,0
"Qiita13631ASD","ASD Dan 2020",37,"balanced","ZINQ",30,30,1,0,0
"Qiita13631ASD","ASD Dan 2020",37,"balanced","MaAsLin3",30,19,0.633333333333333,0,0
"Qiita13631ASD","ASD Dan 2020",37,"fourfold","SACAT",30,30,1,0,0
"Qiita13631ASD","ASD Dan 2020",37,"fourfold","ZINQ",30,30,1,1,1
"Qiita13631ASD","ASD Dan 2020",37,"fourfold","MaAsLin3",30,23,0.766666666666667,0,0
"Qiita13631ASD","ASD Dan 2020",38,"balanced","SACAT",30,30,1,0,0
"Qiita13631ASD","ASD Dan 2020",38,"balanced","ZINQ",30,30,1,0,0
"Qiita13631ASD","ASD Dan 2020",38,"balanced","MaAsLin3",30,16,0.533333333333333,0,0
"Qiita13631ASD","ASD Dan 2020",38,"fourfold","SACAT",30,30,1,0,0
"Qiita13631ASD","ASD Dan 2020",38,"fourfold","ZINQ",30,30,1,0,0
"Qiita13631ASD","ASD Dan 2020",38,"fourfold","MaAsLin3",30,24,0.8,0,0
"Qiita13631ASD","ASD Dan 2020",39,"balanced","SACAT",30,30,1,0,0
"Qiita13631ASD","ASD Dan 2020",39,"balanced","ZINQ",30,30,1,0,0
"Qiita13631ASD","ASD Dan 2020",39,"balanced","MaAsLin3",30,16,0.533333333333333,0,0
"Qiita13631ASD","ASD Dan 2020",39,"fourfold","SACAT",30,30,1,0,0
"Qiita13631ASD","ASD Dan 2020",39,"fourfold","ZINQ",30,30,1,0,0
"Qiita13631ASD","ASD Dan 2020",39,"fourfold","MaAsLin3",30,21,0.7,0,0
"Qiita13631ASD","ASD Dan 2020",40,"balanced","SACAT",30,30,1,0,0
"Qiita13631ASD","ASD Dan 2020",40,"balanced","ZINQ",30,30,1,0,0
"Qiita13631ASD","ASD Dan 2020",40,"balanced","MaAsLin3",30,17,0.566666666666667,0,0
"Qiita13631ASD","ASD Dan 2020",40,"fourfold","SACAT",30,30,1,0,0
"Qiita13631ASD","ASD Dan 2020",40,"fourfold","ZINQ",30,30,1,0,0
"Qiita13631ASD","ASD Dan 2020",40,"fourfold","MaAsLin3",30,21,0.7,0,0
"Qiita13631ASD","ASD Dan 2020",41,"balanced","SACAT",30,30,1,0,0
"Qiita13631ASD","ASD Dan 2020",41,"balanced","ZINQ",30,30,1,0,0
"Qiita13631ASD","ASD Dan 2020",41,"balanced","MaAsLin3",30,17,0.566666666666667,0,0
"Qiita13631ASD","ASD Dan 2020",41,"fourfold","SACAT",30,30,1,0,0
