perturbation,tested_component,samples_per_group,signal_taxa_percent,covariate_structure,target_effect,replications,rejection_probability,monte_carlo_sd,monte_carlo_se,interval_lower,interval_upper
Structural absence,Present-conditional abundance,80,40,Unconfounded,0.45,100,0.003,0.0119341628287971,0.00119341628287971,0.000660904085555769,0.00533909591444423
Structural absence,Present-conditional abundance,80,40,Unconfounded,0.5,100,0.001,0.00703526470681449,0.000703526470681449,0,0.00237891188253564
Structural absence,Present-conditional abundance,120,40,Unconfounded,0,100,0.0035,0.0146594334781051,0.00146594334781051,0.000626751038291392,0.00637324896170861
Structural absence,Present-conditional abundance,120,40,Unconfounded,0.1,100,0.0025,0.0109521456778795,0.00109521456778795,0.000353379447135615,0.00464662055286439
Structural absence,Present-conditional abundance,120,40,Unconfounded,0.2,100,0.0025,0.0109521456778795,0.00109521456778795,0.000353379447135615,0.00464662055286439
Structural absence,Present-conditional abundance,120,40,Unconfounded,0.3,100,0.003,0.0119341628287971,0.00119341628287971,0.000660904085555769,0.00533909591444423
Structural absence,Present-conditional abundance,120,40,Unconfounded,0.4,100,0.003,0.0119341628287971,0.00119341628287971,0.000660904085555769,0.00533909591444423
Structural absence,Present-conditional abundance,120,40,Unconfounded,0.45,100,0.001,0.01,0.001,0,0.00296
Structural absence,Present-conditional abundance,120,40,Unconfounded,0.5,100,0.0045,0.0143811745632331,0.00143811745632331,0.00168128978560632,0.00731871021439368
Structural absence,Present-conditional abundance,60,20,Confounded,0,100,0.002,0.014070529413629,0.0014070529413629,0,0.00475782376507128
Structural absence,Present-conditional abundance,60,20,Confounded,0.1,100,0.004,0.0242878362539562,0.00242878362539562,0,0.00876041590577542
Structural absence,Present-conditional abundance,60,20,Confounded,0.2,100,0.004,0.0196946385566932,0.00196946385566932,0.000139850842888125,0.00786014915711188
Structural absence,Present-conditional abundance,60,20,Confounded,0.3,100,0.002,0.014070529413629,0.0014070529413629,0,0.00475782376507128
Structural absence,Present-conditional abundance,60,20,Confounded,0.4,100,0.003,0.0171446607997765,0.00171446607997765,0,0.0063603535167562
Structural absence,Present-conditional abundance,60,20,Confounded,0.45,100,0.007,0.0293188669562103,0.00293188669562103,0.00125350207658278,0.0127464979234172
Structural absence,Present-conditional abundance,60,20,Confounded,0.5,100,0.007,0.0256432399976243,0.00256432399976243,0.00197392496046564,0.0120260750395344
Structural absence,Present-conditional abundance,80,20,Confounded,0,100,0.003,0.0171446607997765,0.00171446607997765,0,0.0063603535167562
Structural absence,Present-conditional abundance,80,20,Confounded,0.1,100,0,0,0,0,0
Structural absence,Present-conditional abundance,80,20,Confounded,0.2,100,0,0,0,0,0
Structural absence,Present-conditional abundance,80,20,Confounded,0.3,100,0.002,0.014070529413629,0.0014070529413629,0,0.00475782376507128
Structural absence,Present-conditional abundance,80,20,Confounded,0.4,100,0.004,0.0196946385566932,0.00196946385566932,0.000139850842888125,0.00786014915711188
Structural absence,Present-conditional abundance,80,20,Confounded,0.45,100,0,0,0,0,0
Structural absence,Present-conditional abundance,80,20,Confounded,0.5,100,0.001,0.01,0.001,0,0.00296
Structural absence,Present-conditional abundance,120,20,Confounded,0,100,0.002,0.014070529413629,0.0014070529413629,0,0.00475782376507128
Structural absence,Present-conditional abundance,120,20,Confounded,0.1,100,0.002,0.014070529413629,0.0014070529413629,0,0.00475782376507128
Structural absence,Present-conditional abundance,120,20,Confounded,0.2,100,0.001,0.01,0.001,0,0.00296
Structural absence,Present-conditional abundance,120,20,Confounded,0.3,100,0.002,0.014070529413629,0.0014070529413629,0,0.00475782376507128
Structural absence,Present-conditional abundance,120,20,Confounded,0.4,100,0.003,0.0171446607997765,0.00171446607997765,0,0.0063603535167562
Structural absence,Present-conditional abundance,120,20,Confounded,0.45,100,0.003,0.0171446607997765,0.00171446607997765,0,0.0063603535167562
Structural absence,Present-conditional abundance,120,20,Confounded,0.5,100,0,0,0,0,0
Structural absence,Present-conditional abundance,60,40,Confounded,0,100,0.0035,0.0128216199988121,0.00128216199988121,0.000986962480232821,0.00601303751976718
Structural absence,Present-conditional abundance,60,40,Confounded,0.1,100,0.004,0.0136329962172145,0.00136329962172145,0.00132793274142595,0.00667206725857405
Structural absence,Present-conditional abundance,60,40,Confounded,0.2,100,0.0025,0.0109521456778795,0.00109521456778795,0.000353379447135615,0.00464662055286439
Structural absence,Present-conditional abundance,60,40,Confounded,0.3,100,0,0,0,0,0
Structural absence,Present-conditional abundance,60,40,Confounded,0.4,100,0.003,0.0138898989531707,0.00138898989531707,0.00027757980517854,0.00572242019482146
Structural absence,Present-conditional abundance,60,40,Confounded,0.45,100,0.003,0.0119341628287971,0.00119341628287971,0.000660904085555769,0.00533909591444423
Structural absence,Present-conditional abundance,60,40,Confounded,0.5,100,0.004,0.0153741222957161,0.00153741222957161,0.000986672030039635,0.00701332796996037
Structural absence,Present-conditional abundance,80,40,Confounded,0,100,0.005,0.0166666666666667,0.00166666666666667,0.00173333333333333,0.00826666666666667
Structural absence,Present-conditional abundance,80,40,Confounded,0.1,100,0.0025,0.0109521456778795,0.00109521456778795,0.000353379447135615,0.00464662055286439
Structural absence,Present-conditional abundance,80,40,Confounded,0.2,100,0.003,0.0119341628287971,0.00119341628287971,0.000660904085555769,0.00533909591444423
Structural absence,Present-conditional abundance,80,40,Confounded,0.3,100,0.0025,0.0109521456778795,0.00109521456778795,0.000353379447135615,0.00464662055286439
Structural absence,Present-conditional abundance,80,40,Confounded,0.4,100,0.0035,0.0128216199988121,0.00128216199988121,0.000986962480232821,0.00601303751976718
Structural absence,Present-conditional abundance,80,40,Confounded,0.45,100,0.002,0.00984731927834662,0.000984731927834662,6.99254214440626e-05,0.00393007457855594
Structural absence,Present-conditional abundance,80,40,Confounded,0.5,100,0.0015,0.00857233039988826,0.000857233039988827,0,0.0031801767583781
Structural absence,Present-conditional abundance,120,40,Confounded,0,100,0.0035,0.0162912258717397,0.00162912258717397,0.000306919729139022,0.00669308027086098
Structural absence,Present-conditional abundance,120,40,Confounded,0.1,100,0.0045,0.0189296944860009,0.00189296944860009,0.000789779880743822,0.00821022011925618
Structural absence,Present-conditional abundance,120,40,Confounded,0.2,100,0.0035,0.0128216199988121,0.00128216199988121,0.000986962480232821,0.00601303751976718
Structural absence,Present-conditional abundance,120,40,Confounded,0.3,100,0.004,0.0153741222957161,0.00153741222957161,0.000986672030039635,0.00701332796996037
Structural absence,Present-conditional abundance,120,40,Confounded,0.4,100,0.002,0.00984731927834662,0.000984731927834662,6.99254214440626e-05,0.00393007457855594
Structural absence,Present-conditional abundance,120,40,Confounded,0.45,100,0.0025,0.0109521456778795,0.00109521456778795,0.000353379447135615,0.00464662055286439
Structural absence,Present-conditional abundance,120,40,Confounded,0.5,100,0.002,0.0121439181269781,0.00121439181269781,0,0.00438020795288771
