samples_per_group,signal_taxa_percent,covariate_structure,target_abundance_difference,method,measure,replications,estimate,monte_carlo_sd,monte_carlo_se,interval_lower,interval_upper
60,20,Unconfounded,1.2,SACAT,Power after Benjamini-Hochberg adjustment,100,1,0,0,1,1
60,20,Unconfounded,1.2,LinDA,Power after Benjamini-Hochberg adjustment,100,0.892,0.0971097473495994,0.00971097473495994,0.872966489519479,0.911033510480521
60,20,Unconfounded,1.2,ZINQ,Power after Benjamini-Hochberg adjustment,100,0.997,0.0171446607997765,0.00171446607997765,0.993639646483244,1
60,20,Unconfounded,1.2,ANCOM-BC2,Power after Benjamini-Hochberg adjustment,100,0.156,0.14996295838936,0.014996295838936,0.126607260155685,0.185392739844315
60,20,Unconfounded,1.4,edgeR,Power after Benjamini-Hochberg adjustment,100,0.681,0.0950225916784684,0.00950225916784684,0.66237557203102,0.69962442796898
60,20,Unconfounded,1.4,DESeq2,Power after Benjamini-Hochberg adjustment,100,1,0,0,1,1
60,20,Unconfounded,1.4,corncob,Power after Benjamini-Hochberg adjustment,100,1,0,0,1,1
60,20,Unconfounded,1.4,MaAsLin 3,Power after Benjamini-Hochberg adjustment,100,1,0,0,1,1
60,20,Unconfounded,1.4,metagenomeSeq,Power after Benjamini-Hochberg adjustment,100,1,0,0,1,1
60,20,Unconfounded,1.4,SACAT,Power after Benjamini-Hochberg adjustment,100,1,0,0,1,1
60,20,Unconfounded,1.4,LinDA,Power after Benjamini-Hochberg adjustment,100,0.956,0.0640706680552849,0.00640706680552849,0.943442149061164,0.968557850938836
60,20,Unconfounded,1.4,ZINQ,Power after Benjamini-Hochberg adjustment,100,1,0,0,1,1
60,20,Unconfounded,1.4,ANCOM-BC2,Power after Benjamini-Hochberg adjustment,100,0.426,0.225460247565559,0.0225460247565559,0.38180979147715,0.47019020852285
80,20,Unconfounded,0.1,edgeR,Power after Benjamini-Hochberg adjustment,100,0,0,0,0,0
80,20,Unconfounded,0.1,DESeq2,Power after Benjamini-Hochberg adjustment,100,0.002,0.014070529413629,0.0014070529413629,0,0.00475782376507128
80,20,Unconfounded,0.1,corncob,Power after Benjamini-Hochberg adjustment,100,0.006,0.0238683256575942,0.00238683256575942,0.00132180817111154,0.0106781918288885
80,20,Unconfounded,0.1,MaAsLin 3,Power after Benjamini-Hochberg adjustment,100,0.005,0.0261116483933547,0.00261116483933547,0,0.0101178830850975
80,20,Unconfounded,0.1,metagenomeSeq,Power after Benjamini-Hochberg adjustment,100,0.016,0.0443129367525598,0.00443129367525598,0.00731466439649828,0.0246853356035017
80,20,Unconfounded,0.1,SACAT,Power after Benjamini-Hochberg adjustment,100,0.011,0.0399368187885502,0.00399368187885502,0.00317238351744417,0.0188276164825558
80,20,Unconfounded,0.1,LinDA,Power after Benjamini-Hochberg adjustment,100,0.003,0.0171446607997765,0.00171446607997765,0,0.0063603535167562
80,20,Unconfounded,0.1,ZINQ,Power after Benjamini-Hochberg adjustment,100,0.007,0.0256432399976243,0.00256432399976243,0.00197392496046564,0.0120260750395344
80,20,Unconfounded,0.1,ANCOM-BC2,Power after Benjamini-Hochberg adjustment,100,0,0,0,0,0
80,20,Unconfounded,0.2,edgeR,Power after Benjamini-Hochberg adjustment,100,0.002,0.014070529413629,0.0014070529413629,0,0.00475782376507128
80,20,Unconfounded,0.2,DESeq2,Power after Benjamini-Hochberg adjustment,100,0.01,0.0301511344577764,0.00301511344577764,0.00409037764627583,0.0159096223537242
80,20,Unconfounded,0.2,corncob,Power after Benjamini-Hochberg adjustment,100,0.038,0.0615949624071595,0.00615949624071595,0.0259273873681967,0.0500726126318033
80,20,Unconfounded,0.2,MaAsLin 3,Power after Benjamini-Hochberg adjustment,100,0.043,0.0655281572603671,0.0065528157260367,0.0301564811769681,0.0558435188230319
80,20,Unconfounded,0.2,metagenomeSeq,Power after Benjamini-Hochberg adjustment,100,0.111,0.13095993681468,0.013095993681468,0.0853318523843227,0.136668147615677
80,20,Unconfounded,0.2,SACAT,Power after Benjamini-Hochberg adjustment,100,0.063,0.0872185227292386,0.00872185227292386,0.0459051695450692,0.0800948304549308
80,20,Unconfounded,0.2,LinDA,Power after Benjamini-Hochberg adjustment,100,0.018,0.0479477830456206,0.00479477830456206,0.00860223452305837,0.0273977654769416
80,20,Unconfounded,0.2,ZINQ,Power after Benjamini-Hochberg adjustment,100,0.03,0.0611340636419152,0.00611340636419152,0.0180177235261846,0.0419822764738154
80,20,Unconfounded,0.2,ANCOM-BC2,Power after Benjamini-Hochberg adjustment,100,0,0,0,0,0
80,20,Unconfounded,0.3,edgeR,Power after Benjamini-Hochberg adjustment,100,0.02,0.055048188256318,0.0055048188256318,0.00921055510176167,0.0307894448982383
80,20,Unconfounded,0.3,DESeq2,Power after Benjamini-Hochberg adjustment,100,0.063,0.0949800617035603,0.00949800617035603,0.0443839079061022,0.0816160920938978
80,20,Unconfounded,0.3,corncob,Power after Benjamini-Hochberg adjustment,100,0.154,0.144543866327594,0.0144543866327594,0.125669402199792,0.182330597800208
80,20,Unconfounded,0.3,MaAsLin 3,Power after Benjamini-Hochberg adjustment,100,0.156,0.149287871867974,0.0149287871867974,0.126739577113877,0.185260422886123
80,20,Unconfounded,0.3,metagenomeSeq,Power after Benjamini-Hochberg adjustment,100,0.36,0.188561808316413,0.0188561808316413,0.323041885569983,0.396958114430017
80,20,Unconfounded,0.3,SACAT,Power after Benjamini-Hochberg adjustment,100,0.267,0.171184229425612,0.0171184229425612,0.23344789103258,0.30055210896742
