experiment,samples_per_group,signal_taxa_percent,covariate_structure,target_effect,method,measure,replications,estimate,monte_carlo_sd,monte_carlo_se,interval_lower,interval_upper
Abundance perturbation,60,20,Confounded,0.4,ZINQ,Power after Benjamini-Hochberg adjustment,100,0.132,0.127825638818642,0.0127825638818642,0.106946174791546,0.157053825208454
Abundance perturbation,60,20,Confounded,0.4,ANCOM-BC2,Power after Benjamini-Hochberg adjustment,100,0,0,0,0,0
Abundance perturbation,60,20,Confounded,0.8,edgeR,Power after Benjamini-Hochberg adjustment,100,0.446,0.18500341247194,0.018500341247194,0.4097393311555,0.4822606688445
Abundance perturbation,60,20,Confounded,0.8,DESeq2,Power after Benjamini-Hochberg adjustment,100,0.816,0.142644574896751,0.0142644574896751,0.788041663320237,0.843958336679763
Abundance perturbation,60,20,Confounded,0.8,corncob,Power after Benjamini-Hochberg adjustment,100,0.902,0.109156545910685,0.0109156545910685,0.880605317001506,0.923394682998494
Abundance perturbation,60,20,Confounded,0.8,MaAsLin 3,Power after Benjamini-Hochberg adjustment,100,0.885,0.10480862791225,0.010480862791225,0.864457508929199,0.905542491070801
Abundance perturbation,60,20,Confounded,0.8,metagenomeSeq,Power after Benjamini-Hochberg adjustment,100,0.967,0.0569511575249735,0.00569511575249735,0.955837573125105,0.978162426874895
Abundance perturbation,60,20,Confounded,0.8,DASRA,Power after Benjamini-Hochberg adjustment,100,0.939,0.0790026211047085,0.00790026211047085,0.923515486263477,0.954484513736523
Abundance perturbation,60,20,Confounded,0.8,LinDA,Power after Benjamini-Hochberg adjustment,100,0.439,0.19740488055944,0.019740488055944,0.40030864341035,0.47769135658965
Abundance perturbation,60,20,Confounded,0.8,ZINQ,Power after Benjamini-Hochberg adjustment,100,0.841,0.135657769047815,0.0135657769047815,0.814411077266628,0.867588922733372
Abundance perturbation,60,20,Confounded,0.8,ANCOM-BC2,Power after Benjamini-Hochberg adjustment,100,0.014,0.0402517331328978,0.00402517331328978,0.00611066030595204,0.021889339694048
Abundance perturbation,80,20,Confounded,0.4,edgeR,Power after Benjamini-Hochberg adjustment,100,0.072,0.105485888758984,0.0105485888758984,0.0513247658032392,0.0926752341967608
Abundance perturbation,80,20,Confounded,0.4,DESeq2,Power after Benjamini-Hochberg adjustment,100,0.153,0.14316410023452,0.014316410023452,0.124939836354034,0.181060163645966
Abundance perturbation,80,20,Confounded,0.4,corncob,Power after Benjamini-Hochberg adjustment,100,0.338,0.177968332218761,0.0177968332218761,0.303118206885123,0.372881793114877
Abundance perturbation,80,20,Confounded,0.4,MaAsLin 3,Power after Benjamini-Hochberg adjustment,100,0.34,0.169371983181601,0.0169371983181601,0.306803091296406,0.373196908703594
Abundance perturbation,80,20,Confounded,0.4,metagenomeSeq,Power after Benjamini-Hochberg adjustment,100,0.587,0.167967649602926,0.0167967649602926,0.554078340677827,0.619921659322174
Abundance perturbation,80,20,Confounded,0.4,DASRA,Power after Benjamini-Hochberg adjustment,100,0.458,0.147832829420753,0.0147832829420753,0.429024765433532,0.486975234566468
Abundance perturbation,80,20,Confounded,0.4,LinDA,Power after Benjamini-Hochberg adjustment,100,0.078,0.0938298481510037,0.00938298481510037,0.0596093497624033,0.0963906502375967
Abundance perturbation,80,20,Confounded,0.4,ZINQ,Power after Benjamini-Hochberg adjustment,100,0.264,0.175533817858899,0.0175533817858899,0.229595371699656,0.298404628300344
Abundance perturbation,80,20,Confounded,0.4,ANCOM-BC2,Power after Benjamini-Hochberg adjustment,100,0.001,0.01,0.001,0,0.00296
Abundance perturbation,80,20,Confounded,0.8,edgeR,Power after Benjamini-Hochberg adjustment,100,0.63,0.112366643743874,0.0112366643743874,0.607976137826201,0.652023862173799
Abundance perturbation,80,20,Confounded,0.8,DESeq2,Power after Benjamini-Hochberg adjustment,100,0.946,0.0642281287696639,0.00642281287696639,0.933411286761146,0.958588713238854
Abundance perturbation,80,20,Confounded,0.8,corncob,Power after Benjamini-Hochberg adjustment,100,0.979,0.0433333333333333,0.00433333333333333,0.970506666666667,0.987493333333333
Abundance perturbation,80,20,Confounded,0.8,MaAsLin 3,Power after Benjamini-Hochberg adjustment,100,0.977,0.0446196043338474,0.00446196043338474,0.968254557550566,0.985745442449434
Abundance perturbation,80,20,Confounded,0.8,metagenomeSeq,Power after Benjamini-Hochberg adjustment,100,0.998,0.014070529413629,0.0014070529413629,0.995242176234929,1
Abundance perturbation,80,20,Confounded,0.8,DASRA,Power after Benjamini-Hochberg adjustment,100,0.99,0.0301511344577764,0.00301511344577764,0.984090377646276,0.995909622353724
Abundance perturbation,80,20,Confounded,0.8,LinDA,Power after Benjamini-Hochberg adjustment,100,0.607,0.154563575883515,0.0154563575883515,0.576705539126831,0.637294460873169
Abundance perturbation,80,20,Confounded,0.8,ZINQ,Power after Benjamini-Hochberg adjustment,100,0.947,0.0744745906095807,0.00744745906095807,0.932402980240522,0.961597019759478
Abundance perturbation,80,20,Confounded,0.8,ANCOM-BC2,Power after Benjamini-Hochberg adjustment,100,0.02,0.055048188256318,0.0055048188256318,0.00921055510176167,0.0307894448982383
Abundance perturbation,120,20,Confounded,0.4,edgeR,Power after Benjamini-Hochberg adjustment,100,0.226,0.172691117959848,0.0172691117959848,0.19215254087987,0.25984745912013
Abundance perturbation,120,20,Confounded,0.4,DESeq2,Power after Benjamini-Hochberg adjustment,100,0.383,0.186977554964777,0.0186977554964777,0.346352399226904,0.419647600773096
Abundance perturbation,120,20,Confounded,0.4,corncob,Power after Benjamini-Hochberg adjustment,100,0.595,0.180557498047049,0.0180557498047049,0.559610730382778,0.630389269617222
Abundance perturbation,120,20,Confounded,0.4,MaAsLin 3,Power after Benjamini-Hochberg adjustment,100,0.621,0.153934920001797,0.0153934920001797,0.590828755679648,0.651171244320352
Abundance perturbation,120,20,Confounded,0.4,metagenomeSeq,Power after Benjamini-Hochberg adjustment,100,0.811,0.123005296757103,0.0123005296757103,0.786890961835608,0.835109038164392
Abundance perturbation,120,20,Confounded,0.4,DASRA,Power after Benjamini-Hochberg adjustment,100,0.709,0.13416031417297,0.013416031417297,0.682704578422098,0.735295421577902
Abundance perturbation,120,20,Confounded,0.4,LinDA,Power after Benjamini-Hochberg adjustment,100,0.173,0.132463068990812,0.0132463068990812,0.147037238477801,0.198962761522199
Abundance perturbation,120,20,Confounded,0.4,ZINQ,Power after Benjamini-Hochberg adjustment,100,0.502,0.16995543087777,0.016995543087777,0.468688735547957,0.535311264452043
Abundance perturbation,120,20,Confounded,0.4,ANCOM-BC2,Power after Benjamini-Hochberg adjustment,100,0,0,0,0,0
Abundance perturbation,120,20,Confounded,0.8,edgeR,Power after Benjamini-Hochberg adjustment,100,0.721,0.0956582722533972,0.00956582722533972,0.702250978638334,0.739749021361666
Abundance perturbation,120,20,Confounded,0.8,DESeq2,Power after Benjamini-Hochberg adjustment,100,0.996,0.0196946385566932,0.00196946385566932,0.992139850842888,0.999860149157112
Abundance perturbation,120,20,Confounded,0.8,corncob,Power after Benjamini-Hochberg adjustment,100,0.999,0.01,0.001,0.99704,1
Abundance perturbation,120,20,Confounded,0.8,MaAsLin 3,Power after Benjamini-Hochberg adjustment,100,0.999,0.01,0.001,0.99704,1
Abundance perturbation,120,20,Confounded,0.8,metagenomeSeq,Power after Benjamini-Hochberg adjustment,100,1,0,0,1,1
