component_family,null_mechanism,samples_per_group,covariate_structure,method,method_component,tested_component,replications,familywise_type_i_error,monte_carlo_sd,monte_carlo_se,interval_lower,interval_upper
Abundance,Taxonwise global null,120,Unconfounded,metagenomeSeq,metagenomeSeq,General abundance,100,0.27,0.34392270684389,0.034392270684389,0.202591149458598,0.337408850541403
Abundance,Taxonwise global null,120,Unconfounded,SACAT,SACAT present-conditional abundance,Present-conditional abundance,100,0.06,0.178093154605032,0.0178093154605032,0.0250937416974138,0.0949062583025862
Abundance,Taxonwise global null,120,Unconfounded,LinDA,LinDA,General abundance,100,0.075,0.192996048528137,0.0192996048528137,0.0371727744884853,0.112827225511515
Abundance,Taxonwise global null,120,Unconfounded,ZINQ,ZINQ quantile abundance,Detected-sample quantile abundance,100,0.075,0.192996048528136,0.0192996048528136,0.0371727744884853,0.112827225511515
Abundance,Taxonwise global null,120,Unconfounded,ANCOM-BC2,ANCOM-BC2,General abundance,100,0.005,0.05,0.005,0,0.0148
Abundance,Depth-imbalanced null,120,Unconfounded,edgeR,edgeR,General abundance,100,0.02,0.121439181269781,0.0121439181269781,0,0.0438020795288771
Abundance,Depth-imbalanced null,120,Unconfounded,DESeq2,DESeq2,General abundance,100,0.095,0.253211693284812,0.0253211693284812,0.0453705081161769,0.144629491883823
Abundance,Depth-imbalanced null,120,Unconfounded,corncob,corncob,General abundance,100,0.06,0.191748994176441,0.0191748994176441,0.0224171971414176,0.0975828028585824
Abundance,Depth-imbalanced null,120,Unconfounded,MaAsLin 3,MaAsLin 3 abundance,Detected log abundance,100,0.055,0.15723301886761,0.015723301886761,0.0241823283019484,0.0858176716980516
Abundance,Depth-imbalanced null,120,Unconfounded,metagenomeSeq,metagenomeSeq,General abundance,100,0.98,0.0984731927834661,0.00984731927834661,0.960699254214441,0.999300745785559
Abundance,Depth-imbalanced null,120,Unconfounded,SACAT,SACAT present-conditional abundance,Present-conditional abundance,100,0.06,0.178093154605032,0.0178093154605032,0.0250937416974138,0.0949062583025862
Abundance,Depth-imbalanced null,120,Unconfounded,LinDA,LinDA,General abundance,100,0.41,0.410592082955649,0.0410592082955649,0.329523951740693,0.490476048259307
Abundance,Depth-imbalanced null,120,Unconfounded,ZINQ,ZINQ quantile abundance,Detected-sample quantile abundance,100,0.05,0.150755672288882,0.0150755672288882,0.0204518882313792,0.0795481117686208
Abundance,Depth-imbalanced null,120,Unconfounded,ANCOM-BC2,ANCOM-BC2,General abundance,100,0.005,0.05,0.005,0,0.0148
Abundance,Correlated-community null,120,Unconfounded,edgeR,edgeR,General abundance,100,0,0,0,0,0
Abundance,Correlated-community null,120,Unconfounded,DESeq2,DESeq2,General abundance,100,0.005,0.05,0.005,0,0.0148
Abundance,Correlated-community null,120,Unconfounded,corncob,corncob,General abundance,100,0.09,0.228963408483195,0.0228963408483195,0.0451231719372938,0.134876828062706
Abundance,Correlated-community null,120,Unconfounded,MaAsLin 3,MaAsLin 3 abundance,Detected log abundance,100,0.055,0.186609839834968,0.0186609839834968,0.0184244713923463,0.0915755286076537
Abundance,Correlated-community null,120,Unconfounded,metagenomeSeq,metagenomeSeq,General abundance,100,0.345,0.373996975086347,0.0373996975086347,0.271696592883076,0.418303407116924
Abundance,Correlated-community null,120,Unconfounded,SACAT,SACAT present-conditional abundance,Present-conditional abundance,100,0.08,0.221564683762799,0.0221564683762799,0.0365733219824914,0.123426678017509
Abundance,Correlated-community null,120,Unconfounded,LinDA,LinDA,General abundance,100,0.09,0.239738915228103,0.0239738915228103,0.0430111726152919,0.136988827384708
Abundance,Correlated-community null,120,Unconfounded,ZINQ,ZINQ quantile abundance,Detected-sample quantile abundance,100,0.06,0.163299316185545,0.0163299316185545,0.0279933340276331,0.0920066659723669
Abundance,Correlated-community null,120,Unconfounded,ANCOM-BC2,ANCOM-BC2,General abundance,100,0,0,0,0,0
Abundance,Taxonwise global null,60,Confounded,edgeR,edgeR,General abundance,100,0.01,0.0703526470681448,0.00703526470681448,0,0.0237891188253564
Abundance,Taxonwise global null,60,Confounded,DESeq2,DESeq2,General abundance,100,0.04,0.136329962172145,0.0136329962172145,0.0132793274142595,0.0667206725857405
Abundance,Taxonwise global null,60,Confounded,corncob,corncob,General abundance,100,0.085,0.225350456584468,0.0225350456584468,0.0408313105094442,0.129168689490556
Abundance,Taxonwise global null,60,Confounded,MaAsLin 3,MaAsLin 3 abundance,Detected log abundance,100,0.03,0.119341628287971,0.0119341628287971,0.00660904085555768,0.0533909591444423
Abundance,Taxonwise global null,60,Confounded,metagenomeSeq,metagenomeSeq,General abundance,100,0.23,0.321140643848319,0.0321140643848319,0.167056433805729,0.292943566194271
Abundance,Taxonwise global null,60,Confounded,SACAT,SACAT present-conditional abundance,Present-conditional abundance,100,0.09,0.20572610996962,0.020572610996962,0.0496776824459544,0.130322317554046
Abundance,Taxonwise global null,60,Confounded,LinDA,LinDA,General abundance,100,0.125,0.259904799975886,0.0259904799975886,0.0740586592047264,0.175941340795274
Abundance,Taxonwise global null,60,Confounded,ZINQ,ZINQ quantile abundance,Detected-sample quantile abundance,100,0.03,0.138898989531707,0.0138898989531707,0.00277579805178539,0.0572242019482146
Abundance,Taxonwise global null,60,Confounded,ANCOM-BC2,ANCOM-BC2,General abundance,100,0,0,0,0,0
Abundance,Depth-imbalanced null,60,Confounded,edgeR,edgeR,General abundance,100,0.025,0.148647097502641,0.0148647097502641,0,0.0541348311105176
