experiment,samples_per_group,signal_taxa_percent,covariate_structure,target_difference,method,tested_quantity,replications,rejection_probability,monte_carlo_sd,monte_carlo_se,interval_lower,interval_upper
Observed-prevalence perturbation,80,40,Unconfounded,0.32,SACAT,Structural absence,100,0.001,0.00703526470681449,0.000703526470681449,0,0.00237891188253564
Observed-prevalence perturbation,80,40,Unconfounded,0.32,MaAsLin 3,Observed prevalence,100,0.9675,0.039167472590032,0.0039167472590032,0.959823175372354,0.975176824627646
Observed-prevalence perturbation,80,40,Unconfounded,0.32,ZINQ,Observed prevalence,100,0.968,0.0392608474362709,0.00392608474362709,0.960304873902491,0.975695126097509
Observed-prevalence perturbation,120,40,Unconfounded,0,SACAT,Structural absence,100,5e-04,0.005,5e-04,0,0.00148
Observed-prevalence perturbation,120,40,Unconfounded,0,MaAsLin 3,Observed prevalence,100,0.0015,0.00857233039988826,0.000857233039988827,0,0.0031801767583781
Observed-prevalence perturbation,120,40,Unconfounded,0,ZINQ,Observed prevalence,100,0.0015,0.00857233039988826,0.000857233039988827,0,0.0031801767583781
Observed-prevalence perturbation,120,40,Unconfounded,0.04,SACAT,Structural absence,100,0,0,0,0,0
Observed-prevalence perturbation,120,40,Unconfounded,0.04,MaAsLin 3,Observed prevalence,100,0.004,0.0153741222957161,0.00153741222957161,0.000986672030039635,0.00701332796996037
Observed-prevalence perturbation,120,40,Unconfounded,0.04,ZINQ,Observed prevalence,100,0.0045,0.0160412977131912,0.00160412977131912,0.00135590564821453,0.00764409435178547
Observed-prevalence perturbation,120,40,Unconfounded,0.08,SACAT,Structural absence,100,0.001,0.00703526470681449,0.000703526470681449,0,0.00237891188253564
Observed-prevalence perturbation,120,40,Unconfounded,0.08,MaAsLin 3,Observed prevalence,100,0.0285,0.0439553262650922,0.00439553262650922,0.0198847560520419,0.0371152439479581
Observed-prevalence perturbation,120,40,Unconfounded,0.08,ZINQ,Observed prevalence,100,0.0355,0.0493876645949311,0.00493876645949311,0.0258200177393935,0.0451799822606065
Observed-prevalence perturbation,120,40,Unconfounded,0.12,SACAT,Structural absence,100,0.001,0.00703526470681449,0.000703526470681449,0,0.00237891188253564
Observed-prevalence perturbation,120,40,Unconfounded,0.12,MaAsLin 3,Observed prevalence,100,0.19,0.143019388386839,0.0143019388386839,0.16196819987618,0.21803180012382
Observed-prevalence perturbation,120,40,Unconfounded,0.12,ZINQ,Observed prevalence,100,0.2025,0.145187965942586,0.0145187965942586,0.174043158675253,0.230956841324747
Observed-prevalence perturbation,120,40,Unconfounded,0.16,SACAT,Structural absence,100,0.001,0.00703526470681449,0.000703526470681449,0,0.00237891188253564
Observed-prevalence perturbation,120,40,Unconfounded,0.16,MaAsLin 3,Observed prevalence,100,0.53,0.165297405676049,0.0165297405676049,0.497601708487494,0.562398291512506
Observed-prevalence perturbation,120,40,Unconfounded,0.16,ZINQ,Observed prevalence,100,0.5455,0.159718028052091,0.0159718028052091,0.51419526650179,0.57680473349821
Observed-prevalence perturbation,120,40,Unconfounded,0.2,SACAT,Structural absence,100,5e-04,0.005,5e-04,0,0.00148
