"source_feature","pi0","mu","sigma","expected_absolute_abundance","expected_detection_at_1500","within_pi0_range","passes_detection"
"k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella_tanakaei",0.9581589958159,-0.171894348441354,1.95392060217124,0.237670516815085,0.0103553798142811,FALSE,FALSE
"k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella_unclassified",0.928870292887029,0.325830030295553,1.75874169063234,0.462627071583981,0.0228185470072289,FALSE,FALSE
"k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Eggerthella|s__Eggerthella_lenta",0.719665271966527,-1.93828224415493,1.50583478123143,0.125395318688564,0.0200785787546197,TRUE,FALSE
"k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Eggerthella|s__Eggerthella_unclassified",0.338912133891213,-0.623287219480202,1.74335110378254,1.62008853201841,0.134988328537642,TRUE,FALSE
"k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Gordonibacter|s__Gordonibacter_pamelaeae",0.573221757322176,-1.08742925491308,1.44047778501442,0.405987921833986,0.0489832160741736,TRUE,FALSE
"k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Olsenella|s__Olsenella_unclassified",0.97071129707113,-3.1927082309565,1.12344815031055,0.00226044459721418,0.000346406309345032,FALSE,FALSE
"k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Slackia|s__Slackia_piriformis",0.94560669456067,-0.146952567294761,0.739920501088262,0.0617460305704981,0.00822255908451755,FALSE,FALSE
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_caccae",0.364016736401674,4.36900797228803,2.57246580124539,1373.63403947709,0.52895098225469,TRUE,TRUE
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_cellulosilyticus",0.447698744769874,3.26353369688247,2.49295305832647,322.879614443326,0.401585194189375,TRUE,TRUE
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_clarus",0.836820083682008,-0.777137227374416,2.80320016513833,3.81494577017222,0.035556250359577,TRUE,FALSE
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_coprocola",0.907949790794979,3.45216556959422,3.56738628562479,1685.58325189915,0.061308450323037,FALSE,FALSE
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_coprophilus",0.97907949790795,4.93167141190171,1.25382390875836,6.36416456890437,0.0177347207915768,FALSE,FALSE
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_dorei",0.225941422594142,2.85526171728638,3.01067915874733,1250.43714966537,0.511071942155606,TRUE,TRUE
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_eggerthii",0.811715481171548,2.29973743442043,3.67361292186916,1599.82947131761,0.104383748498591,TRUE,FALSE
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_faecis",0.598326359832636,1.01373502489998,3.37921554163321,334.009188422071,0.174650443875714,TRUE,FALSE
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_finegoldii",0.686192468619247,2.33053494699795,3.5710893931326,1896.75390969258,0.178234060986568,TRUE,FALSE
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_fragilis",0.401673640167364,2.97879254023052,2.40919431968943,214.279717698728,0.424270536212613,TRUE,TRUE
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_gallinarum",0.98744769874477,1.82281050060001,3.85305169731175,130.055714070011,0.00721273431992348,FALSE,FALSE
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_intestinalis",0.786610878661088,2.05011340745654,2.47714632336003,35.6447703524029,0.117765203430751,TRUE,FALSE
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_massiliensis",0.556485355648536,2.94459431094599,3.96935708335969,22235.995656466,0.279402496609504,TRUE,TRUE
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_nordii",0.757322175732218,0.66643047267914,1.79491817039251,2.36617694778554,0.0848070680976045,TRUE,FALSE
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_oleiciplenus",0.97907949790795,-2.91476915073354,1.47502621838841,0.00336629139191401,0.000488216693497115,FALSE,FALSE
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_ovatus",0.0585774058577406,4.38397563975767,2.71267016624846,2989.62190573603,0.777294269703768,TRUE,TRUE
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_plebeius",0.866108786610879,2.60794893845553,3.27604226473073,388.948813246122,0.079396690716382,TRUE,FALSE
